código,nome,descrição,atualizado_em,Unidade,num_registros,primeira_data,ultima_data,intervalo_dias,valor_min,valor_max,media_valor,desvio_padrao_valor,media_frequencia,frequencia,status_atividade,status_download
1,"Exchange rate, Free, United States dollar (sale), 1","Exchange rate, Free, United States dollar (sale), 1.",2024-09-15 15:54:06,c.m.u./US$,9972.0,1984-11-28,2024-09-13,2.0,0.829,71153.0,848.4458685318892,4693.351543279467,1.4574809466506218,Diária,Ativa,
11,"Interest rate, Selic","Interest rate, Selic.",2024-09-15 16:11:42,% p.d.,9597.0,1986-06-04,2024-09-13,2.0,0.0,3.626,0.2589655859122642,0.4751020366306343,1.456809419610295,Diária,Ativa,
12,"Interest rate, CDI","Interest rate, CDI.",2024-09-15 16:32:27,% p.d.,9638.0,1986-03-06,2024-09-12,3.0,0.007469,3.970667,0.2631419703257937,0.4818884979122292,1.459846441170367,Diária,Ativa,
23,"Daily savings deposits balance, Brazilian system of savings deposits and loans (SBPE) and rural","Daily savings deposits balance, Brazilian system of savings deposits and loans (SBPE) and rural.",2024-09-15 17:40:18,c.m.u. (thousand),8275.0,1991-08-22,2024-08-15,31.0,32949831.87,1579828259448.72,16515081034.299498,111141485798.82253,1.4558308157099695,Diária,Ativa,
24,"Daily saving deposits net inflow, Brazilian system of saving deposits and loans (SBPE) and rural","Daily saving deposits net inflow, Brazilian system of saving deposits and loans (SBPE) and rural.",2024-09-15 17:41:58,c.m.u. (thousand),8275.0,1991-08-22,2024-08-15,31.0,-4012214984.79,5833763985.24,20199143.40715408,274235397.4177104,1.4558308157099695,Diária,Ativa,
25,"Saving deposits up to 05.03.2012, Return in the time period","Saving deposits up to 05.03.2012, Return in the time period.",2024-09-15 17:44:55,% p.m.,11296.0,1991-02-01,2024-09-12,3.0,0.5,51.9962,3.456853983711048,8.605902312969802,1.0868449008498584,Diária,Ativa,
188,National Consumer Price Index (INPC),National Consumer Price Index (INPC).,2024-09-15 17:15:53,Monthly % var.,544.0,1979-05-01,2024-08-01,45.0,-0.6,82.18,5.703805147058823,10.631390888991069,30.384191176470587,Mensal,Ativa,
189,General Price Index-Market (IGP-M),General Price Index-Market (IGP-M).,2024-09-15 17:16:02,Monthly % var.,422.0,1989-07-01,2024-08-01,45.0,-1.93,83.95,4.635189573459716,11.315636369578916,30.36729857819905,Mensal,Ativa,
190,General Price Index-Domestic Supply (IGP-DI),General Price Index-Domestic Supply (IGP-DI).,2024-09-15 17:16:21,Monthly % var.,966.0,1944-03-01,2024-08-01,45.0,-2.59,81.32,4.179875776397515,8.35694831037459,30.40683229813665,Mensal,Ativa,
191,Consumer Price Index-Brazil (IPC-Br),Consumer Price Index-Brazil (IPC-Br).,2024-09-15 17:16:30,Monthly % var.,415.0,1990-02-01,2024-08-01,45.0,-1.19,80.75,3.9172048192771087,10.079097823765752,30.36144578313253,Mensal,Ativa,
