Código Período	Nome Período
1872	31/12/1872
1890	31/12/1890
1900	31/12/1900
1920	31/12/1920
1940	31/12/1940
1950	31/12/1950
1960	31/12/1960
1966	31/12/1966
1967	31/12/1967
1968	31/12/1968
1969	31/12/1969
1970	31/12/1970
1973	31/12/1973
1974	31/12/1974
1975	31/12/1975
1976	31/12/1976
1977	31/12/1977
1978	31/12/1978
1979	31/12/1979
1980	31/12/1980
1981	31/12/1981
1982	31/12/1982
1983	31/12/1983
1984	31/12/1984
1985	31/12/1985
1986	31/12/1986
1987	31/12/1987
1988	31/12/1988
1989	31/12/1989
1990	31/12/1990
1991	31/12/1991
1992	31/12/1992
1993	31/12/1993
1994	31/12/1994
1995	31/12/1995
1996	31/12/1996
1997	31/12/1997
1998	31/12/1998
1999	31/12/1999
2000	31/12/2000
2001	31/12/2001
2002	31/12/2002
2003	31/12/2003
2004	31/12/2004
2005	31/12/2005
2006	31/12/2006
2007	31/12/2007
2008	31/12/2008
2009	31/12/2009
2010	31/12/2010
2011	31/12/2011
2012	31/12/2012
2013	31/12/2013
2014	31/12/2014
2015	31/12/2015
2016	31/12/2016
2017	31/12/2017
2018	31/12/2018
2019	31/12/2019
2020	31/12/2020
2021	31/12/2021
2022	31/12/2022
2023	31/12/2023
197903	31/03/1979
197904	30/04/1979
197905	31/05/1979
197906	30/06/1979
197907	31/07/1979
197908	31/08/1979
197909	30/09/1979
197910	31/10/1979
197911	30/11/1979
197912	31/12/1979
198001	31/01/1980
198002	29/02/1980
198003	31/03/1980
198004	30/04/1980
198005	31/05/1980
198006	30/06/1980
198007	31/07/1980
198008	31/08/1980
198009	30/09/1980
198010	31/10/1980
198011	30/11/1980
198012	31/12/1980
198101	31/01/1981
198102	28/02/1981
198103	31/03/1981
198104	30/04/1981
198105	31/05/1981
198106	30/06/1981
198107	31/07/1981
198108	31/08/1981
198109	30/09/1981
198110	31/10/1981
198111	30/11/1981
198112	31/12/1981
198201	31/01/1982
198202	28/02/1982
198203	31/03/1982
198204	30/04/1982
198205	31/05/1982
198206	30/06/1982
198207	31/07/1982
198208	31/08/1982
198209	30/09/1982
198210	31/10/1982
198211	30/11/1982
198212	31/12/1982
198301	31/01/1983
198302	28/02/1983
198303	31/03/1983
198304	30/04/1983
198305	31/05/1983
198306	30/06/1983
198307	31/07/1983
198308	31/08/1983
198309	30/09/1983
198310	31/10/1983
198311	30/11/1983
198312	31/12/1983
198401	31/01/1984
198402	29/02/1984
198403	31/03/1984
198404	30/04/1984
198405	31/05/1984
198406	30/06/1984
198407	31/07/1984
198408	31/08/1984
198409	30/09/1984
198410	31/10/1984
198411	30/11/1984
198412	31/12/1984
198501	31/01/1985
198502	28/02/1985
198503	31/03/1985
198504	30/04/1985
198505	31/05/1985
198506	30/06/1985
