Código Subclassificação	Nome Subclassificação	Código Classificação
0	Total	4
1	Urbana	1
2	Rural	1
4	Homens	2
5	Mulheres	2
9	Unidades de habitação em domicílios coletivos	3
10	Indústria de transformação	4
11	Construção civil	4
12	Comércio	4
13	Serviços	4
14	Outras atividades	4
23	Indústria geral	7
24	Indústria extrativa mineral	7
25	Indústria de transformação	7
26	Transformação de produtos de minerais não-metálicos	8
27	Metalúrgica	8
28	Mecânica	8
29	Material elétrico e de comunicação	8
30	Material de transporte	8
31	Madeira	8
32	Mobiliário	8
33	Papel e papelão	8
34	Borracha	8
35	Couros e peles	8
36	Química	8
37	Farmacêutica	8
38	Perfumaria, sabões e velas	8
39	Produtos de matérias plásticas	8
40	Têxtil	8
41	Vestuários, calçados e artefatos de tecidos	8
42	Produtos alimentares	8
43	Bebidas	8
44	Fumo	8
45	Editorial e gráfica	8
46	Diversas	8
52	Total	17
53	De estabelecimento da própria empresa	17
54	De outra empresa	17
55	Bois	18
56	Vacas	18
57	Vitelos e vitelas	18
58	Porcos	19
59	Leitões	19
60	Asininos	20
61	Equinos	20
62	Muares	20
63	Perus	22
64	Galos e galinhas	22
65	Patos, marrecos e gansos	22
66	Frangos e frangas	22
67	Ovinos	23
68	Caprinos	23
69	Coelhos	23
70	Índice base fixa (Base: média de 1985 = 100)	24
71	Índice mensal (Base: igual mês do ano anterior = 100)	24
72	Índice acumulado no ano (Base: igual período do ano anterior = 100)	24
73	Índice acumulado doze meses (Base: últimos 12 meses anteriores = 100)	24
74	Bens de capital	9
75	Bens intermediários	9
76	Bens de consumo duráveis	9
110	Aglomerados subnormais	11339
111	Outras áreas	11339
120	Total	12645
135	Pessoal ocupado familiar - com 14 anos e mais de idade	6
136	Pessoal ocupado familiar - com menos de 14 anos de idade	6
137	Pessoal ocupado familiar que recebia salários - com 14 anos e mais de idade	6
138	Pessoal ocupado familiar que recebia salários - com menos de 14 anos de idade	6
139	Empregados permanentes	6
140	Empregados temporários	6
141	Parceiros (empregados)	6
142	Outra condição	6
144	Familiar - tipo A	10
145	Familiar - tipo B	10
146	Familiar - tipo C	10
147	Familiar - tipo D	10
150	1.1 Bens de Capital para fins industriais	25
151	1.1.1 Bens de Capital para fins industriais seriados	25
152	1.1.2 Bens de Capital para fins industriais não seriados	25
153	1.2 Bens de Capital agrícolas	25
154	Não classificado	10
155	Muito especializado	11
156	Especializado	11
157	Diversificado	11
158	Muito diversificado	11
159	Não identificado	11
160	Muito integrado	12
161	Integrado	12
162	Pouco integrado	12
163	Não identificado	12
209	1.3 Bens de Capital peças agrícolas	25
210	1.4 Bens de Capital para construção	25
211	1.5 Bens de Capital para o setor de energia elétrica	25
212	1.6 Bens de Capital para equipamentos de transporte	25
213	1.7 Bens de Capital de uso misto	25
214	2 Insumos Típicos da Construção Civil	25
215	3 Total de Embalagens	25
216	3.1 Embalagens de vidro	25
217	3.2 Embalagens de metal	25
218	3.3 Embalagens de madeira	25
219	3.4 Embalagens de papel e papelão	25
220	3.5 Embalagens de material plástico	25
221	4 Eletrodomésticos	25
226	Alemanha	26
236	Argentina	26
239	Austrália	26
272	Chile	26
273	China	26
277	Colômbia	26
296	Espanha	26
299	Estados Unidos	26
307	França	26
331	Índia	26
337	Israel	26
372	México	26
402	Paraguai	26
407	Portugal	26
469	Uruguai	26
472	Venezuela	26
486	Domicílio particular permanente não ocupado - de uso ocasional	3
487	Domicílio particular permanente não ocupado - vago	3
496	70 anos ou mais	287
498	Só mão-de-obra familiar	27
499	Mão-de-obra familiar e empregado temporário	27
500	Mão-de-obra familiar, empregado temporário e empregado permanente	27
501	Mão-de-obra familiar e serviço de empreitada	27
502	Mão-de-obra familiar e demais combinações	27
503	Não identificado	27
504	Agriculltor não familiar	10
505	Governo	16
506	Não identificado	16
507	Agricultor familiar	16
508	Empresa pública	11973
509	Sociedade de economia mista	11973
510	Consórcio público	11973
511	Fundação	11973
512	Associação	11973
513	Total geral de municípios	28
514	Interfederativa	11983
