Código Tabela	Código Classificação
1	12121
2	4
3	2399
4	2
5	4
6	4
7	2399
17	12121
18	12121
19	23
20	23
22	72
23	72
24	72
25	72
26	1
26	280
27	24
27	7
28	24
28	8
29	24
29	9
32	39
33	41
33	40
34	42
35	43
36	12121
37	12121
38	12121
39	12121
40	12121
41	18
42	19
43	20
44	22
45	18
46	19
47	20
48	22
49	24
49	8
50	7
50	24
51	8
51	24
52	7
52	24
53	24
53	8
54	7
54	24
55	8
55	24
56	24
56	7
57	24
57	8
58	72
59	24
59	8
60	7
60	24
61	72
62	24
62	7
63	24
63	8
64	7
64	24
65	24
65	8
66	8
66	24
67	7
67	24
68	24
68	8
69	7
69	24
70	7
70	24
71	24
71	8
72	7
72	24
73	79
74	80
75	24
75	8
76	24
76	7
77	24
77	8
78	7
78	24
79	24
79	8
80	24
80	7
81	24
81	8
82	7
82	24
83	12121
84	72
85	72
86	72
87	12121
89	72
90	73
91	73
92	8
93	7
96	1568
96	9832
96	12232
96	1
96	86
97	12291
97	1
97	1568
97	9832
97	12232
97	133
98	90
98	12232
98	9832
98	1568
98	12293
98	1
102	1
102	1598
102	12232
103	1598
103	12232
103	12291
103	1
105	1
105	1598
105	12232
107	12232
107	12291
107	1
107	90
108	12232
108	1
108	12065
109	75
109	24
135	133
135	86
135	2
136	86
137	133
138	1
138	2
138	58
138	134
139	58
139	133
139	2
139	1
140	1
140	2
140	86
140	58
141	58
141	86
141	59
141	2
142	2
142	1
142	58
142	71
143	58
143	71
143	86
143	2
144	135
144	58
145	1
145	2
145	58
145	136
146	71
148	135
149	138
149	137
149	1
150	140
150	139
150	1
151	17
152	51
153	50
160	197
160	1612
160	125
160	61
160	63
162	1
163	2
163	1
163	70
164	2
164	71
164	70
165	1
165	3
166	1
166	60
167	1
167	64
168	66
168	1
169	197
169	125
169	63
169	65
170	69
171	2
171	70
171	69
172	1
172	67
173	1
173	63
174	1
174	1612
175	1
175	61
176	125
176	197
176	198
176	65
177	198
177	61
177	125
177	1612
177	197
178	1
178	60
179	61
179	1
180	1
180	1612
181	1
181	63
182	1
