Código Tabela	Código Periodicidade
1	Ano
2	Mês
3	Mês
4	Mês
5	Mês
6	Mês
7	Mês
8	Mês
9	Mês
10	Mês
11	Mês
12	Mês
13	Mês
14	Mês
15	Mês
16	Mês
17	Ano
18	Ano
19	Mês
20	Mês
21	Ano
22	Mês
23	Mês
24	Mês
25	Mês
26	Ano
27	Mês
28	Mês
29	Mês
30	Mês
32	Mês
33	Mês
34	Mês
35	Mês
36	Ano
37	Ano
38	Ano
39	Ano
40	Ano
41	Mês
42	Mês
43	Mês
44	Mês
45	Mês
46	Mês
47	Mês
48	Mês
49	Mês
50	Mês
51	Mês
52	Mês
53	Mês
54	Mês
55	Mês
56	Mês
57	Mês
58	Mês
59	Mês
60	Mês
61	Mês
62	Mês
63	Mês
64	Mês
65	Mês
66	Mês
67	Mês
68	Mês
69	Mês
70	Mês
71	Mês
72	Mês
73	Ano
74	Ano
75	Mês
76	Mês
77	Mês
78	Mês
79	Mês
80	Mês
81	Mês
82	Mês
83	Ano
84	Mês
85	Mês
86	Mês
87	Ano
89	Mês
90	Mês
91	Mês
92	Mês
93	Mês
94	Ano
95	Ano
96	Ano
97	Ano
98	Ano
100	Mês
101	Mês
102	Ano
103	Ano
104	Mês
105	Ano
107	Ano
108	Ano
109	Mês
117	Mês
118	Mês
135	Ano
136	Ano
137	Ano
138	Ano
139	Ano
140	Ano
141	Ano
142	Ano
143	Ano
144	Ano
145	Ano
146	Ano
148	Ano
149	Ano
150	Ano
151	Mês
152	Mês
153	Mês
155	Ano
156	Ano
157	Ano
158	Ano
159	Ano
160	Ano
162	Ano
163	Ano
164	Ano
165	Ano
166	Ano
167	Ano
168	Ano
169	Ano
170	Ano
171	Ano
172	Ano
173	Ano
174	Ano
175	Ano
176	Ano
177	Ano
178	Ano
179	Ano
180	Ano
181	Ano
182	Ano
183	Ano
184	Ano
185	Ano
186	Ano
187	Ano
188	Mês
190	Ano
191	Ano
192	Ano
194	Ano
196	Ano
197	Ano
198	Ano
199	Ano
200	Ano
201	Ano
202	Ano
203	Ano
204	Ano
205	Ano
206	Ano
207	Ano
208	Ano
209	Mês
211	Ano
213	Ano
214	Ano
215	Ano
216	Ano
217	Ano
218	Ano
219	Ano
220	Ano
221	Ano
222	Ano
223	Ano
224	Ano
225	Ano
226	Ano
227	Ano
228	Ano
229	Ano
230	Ano
231	Ano
232	Ano
233	Ano
234	Ano
235	Ano
236	Ano
237	Ano
238	Ano
239	Ano
240	Ano
241	Ano
242	Ano
243	Ano
244	Ano
245	Ano
246	Ano
247	Ano
248	Ano
249	Ano
250	Ano
251	Ano
252	Ano
253	Ano
254	Semestre
255	Semestre
256	Ano
257	Ano
258	Ano
259	Semestre
260	Ano
261	Ano
262	Ano
263	Ano
264	Ano
265	Ano
266	Ano
267	Ano
268	Ano
269	Ano
270	Ano
271	Ano
272	Ano
273	Ano
274	Ano
275	Ano
276	Ano
277	Ano
278	Semestre
279	Semestre
280	Ano
281	Ano
282	Ano
283	Ano
284	Ano
287	Ano
288	Ano
289	Ano
290	Ano
291	Ano
292	Ano
293	Ano
297	Ano
298	Ano
299	Ano
300	Ano
301	Ano
302	Ano
303	Ano
304	Ano
305	Ano
307	Ano
308	Ano
309	Ano
310	Ano
311	Ano
312	Ano
313	Ano
314	Ano
315	Ano
316	Ano
317	Ano
318	Ano
319	Ano
320	Ano
321	Ano
322	Ano
323	Ano
324	Ano
325	Ano
326	Ano
327	Ano
328	Ano
329	Ano
330	Ano
331	Ano
332	Ano
333	Ano
334	Ano
335	Ano
336	Ano
337	Ano
338	Ano
339	Ano
340	Ano
342	Ano
343	Ano
344	Ano
345	Ano
346	Ano
347	Ano
349	Ano
350	Ano
351	Ano
352	Ano
354	Ano
355	Ano
356	Ano
357	Ano
358	Ano
359	Ano
360	Ano
361	Ano
362	Ano
363	Ano
364	Ano
367	Ano
368	Ano
369	Ano
370	Ano
371	Ano
372	Ano
373	Ano
374	Ano
375	Ano
376	Ano
377	Ano
378	Ano
379	Ano
380	Ano
381	Ano
382	Ano
383	Ano
384	Ano
385	Ano
386	Ano
387	Ano
388	Ano
389	Ano
390	Ano
391	Ano
392	Ano
393	Ano
394	Ano
396	Ano
397	Ano
398	Ano
399	Ano
400	Ano
401	Ano
402	Ano
403	Ano
404	Ano
405	Ano
406	Ano
408	Ano
409	Ano
410	Ano
411	Ano
412	Ano
413	Ano
414	Ano
415	Ano
416	Ano
417	Ano
418	Ano
419	Ano
420	Ano
421	Ano
422	Ano
423	Ano
424	Ano
425	Ano
426	Ano
427	Ano
428	Ano
429	Ano
430	Ano
431	Ano
433	Ano
434	Ano
435	Ano
436	Ano
437	Ano
438	Ano
439	Ano
440	Ano
441	Ano
442	Ano
443	Ano
444	Ano
445	Ano
446	Ano
447	Ano
448	Ano
449	Ano
450	Ano
451	Ano
452	Ano
453	Ano
455	Ano
456	Ano
457	Ano
458	Ano
459	Ano
460	Ano
461	Ano
462	Ano
463	Ano
464	Ano
465	Ano
466	Ano
467	Ano
468	Ano
469	Ano
470	Ano
471	Ano
472	Ano
473	Ano
474	Ano
475	Ano
476	Ano
477	Ano
478	Ano
479	Ano
480	Ano
481	Ano
482	Ano
483	Ano
484	Ano
485	Ano
486	Ano
487	Ano
488	Ano
489	Ano
490	Ano
491	Ano
492	Ano
493	Ano
494	Ano
495	Ano
496	Ano
497	Ano
498	Ano
499	Ano
500	Ano
501	Ano
502	Ano
503	Ano
504	Ano
505	Ano
506	Ano
507	Ano
508	Ano
509	Ano
510	Ano
511	Ano
512	Ano
513	Ano
514	Ano
515	Ano
516	Ano
517	Ano
518	Ano
519	Ano
520	Ano
521	Ano
522	Ano
523	Ano
524	Ano
525	Ano
526	Ano
527	Ano
528	Ano
529	Ano
530	Ano
531	Ano
532	Ano
533	Ano
534	Ano
535	Ano
536	Ano
537	Ano
538	Ano
539	Ano
540	Ano
541	Ano
542	Ano
543	Ano
544	Ano
545	Ano
546	Ano
547	Ano
548	Ano
549	Ano
550	Ano
551	Ano
552	Ano
553	Ano
554	Ano
555	Ano
556	Ano
557	Ano
558	Ano
564	Ano
565	Ano
566	Ano
567	Ano
568	Ano
569	Ano
570	Ano
573	Ano
574	Ano
575	Ano
576	Ano
579	Ano
580	Ano
581	Ano
582	Ano
583	Ano
584	Ano
585	Ano
586	Ano
587	Ano
588	Ano
589	Ano
590	Ano
591	Ano
592	Ano
599	Ano
602	Ano
603	Ano
608	Ano
615	Ano
616	Ano
617	Ano
618	Ano
619	Ano
620	Ano
621	Ano
622	Ano
623	Ano
624	Ano
625	Ano
626	Ano
627	Ano
628	Ano
630	Ano
631	Ano
632	Ano
633	Mês
634	Mês
636	Mês
638	Ano
639	Ano
640	Ano
641	Ano
642	Ano
643	Mês
645	Mês
646	Mês
647	Mês
648	Mês
649	Mês
650	Mês
651	Mês
653	Mês
654	Mês
655	Mês
656	Mês
657	Mês
658	Ano
659	Mês
660	Ano
661	Mês
662	Mês
663	Mês
664	Mês
665	Mês
666	Ano
667	Ano
668	Ano
669	Mês
670	Mês
671	Mês
672	Mês
673	Mês
674	Mês
675	Ano
676	Ano
677	Ano
678	Ano
679	Mês
680	Ano
681	Ano
682	Ano
683	Ano
684	Ano
685	Ano
686	Ano
687	Ano
688	Ano
689	Ano
690	Ano
691	Ano
692	Ano
693	Ano
694	Ano
695	Ano
696	Ano
697	Ano
698	Ano
699	Ano
700	Ano
701	Ano
702	Ano
703	Ano
704	Ano
705	Ano
706	Ano
707	Ano
708	Ano
709	Ano
710	Ano
711	Ano
712	Ano
713	Ano
714	Ano
715	Ano
716	Ano
717	Ano
718	Ano
719	Ano
720	Ano
721	Ano
722	Ano
723	Ano
724	Ano
725	Ano
726	Ano
727	Ano
728	Ano
729	Ano
730	Ano
731	Ano
732	Ano
733	Ano
734	Ano
735	Ano
736	Ano
737	Ano
738	Ano
739	Ano
740	Ano
741	Ano
742	Ano
743	Ano
744	Ano
745	Ano
746	Ano
747	Ano
748	Ano
749	Ano
750	Ano
751	Ano
752	Ano
753	Ano
754	Ano
755	Ano
756	Ano
757	Ano
758	Ano
759	Ano
761	Ano
765	Ano
766	Ano
767	Ano
768	Ano
769	Ano
770	Ano
771	Ano
772	Ano
773	Ano
774	Ano
775	Ano
776	Ano
777	Ano
778	Ano
779	Ano
780	Ano
781	Ano
782	Ano
783	Ano
784	Ano
785	Ano
786	Ano
787	Ano
788	Ano
790	Ano
791	Ano
792	Ano
793	Ano
794	Ano
795	Ano
796	Ano
797	Ano
798	Ano
799	Ano
800	Ano
801	Ano
802	Ano
803	Ano
804	Ano
805	Ano
806	Ano
807	Ano
808	Ano
809	Ano
810	Ano
811	Ano
812	Ano
813	Ano
814	Ano
815	Ano
816	Ano
817	Ano
818	Ano
819	Ano
820	Ano
821	Ano
822	Ano
824	Ano
825	Ano
827	Ano
828	Ano
829	Ano
830	Ano
831	Ano
832	Ano
833	Ano
834	Ano
835	Ano
836	Ano
837	Ano
838	Ano
839	Ano
840	Ano
841	Ano
842	Ano
843	Ano
844	Ano
845	Ano
846	Ano
847	Ano
848	Ano
849	Ano
850	Ano
851	Ano
852	Ano
853	Ano
854	Ano
855	Ano
856	Ano
857	Ano
858	Ano
859	Ano
860	Ano
861	Ano
862	Ano
863	Ano
864	Ano
865	Ano
867	Ano
