Código Tabela	Código Período
1	2003
1	2004
1	2005
1	2006
1	2007
2	199809
2	199810
2	199811
2	199812
2	199901
2	199902
2	199903
2	199905
2	199808
2	199906
2	199907
2	199908
2	199909
2	199911
2	199904
2	199807
2	199805
2	199912
2	199703
2	199704
2	199705
2	199706
2	199707
2	199708
2	199806
2	199709
2	199711
2	199712
2	199801
2	199802
2	199803
2	199804
2	199710
2	200001
2	200004
2	200003
2	200111
2	200112
2	200201
2	200202
2	200203
2	200204
2	200110
2	200205
2	200207
2	200208
2	200209
2	200210
2	200211
2	200212
2	200206
2	200109
2	200108
2	200107
2	199702
2	200005
2	200006
2	200007
2	200008
2	200009
2	200010
2	200011
2	200012
2	200101
2	200102
2	200103
2	200104
2	200105
2	200106
2	200002
2	199701
2	199910
2	199611
2	199208
2	199209
2	199210
2	199211
2	199212
2	199301
2	199207
2	199302
2	199304
2	199305
2	199306
2	199307
2	199308
2	199309
2	199303
2	199206
2	199205
2	199204
2	199612
2	199102
2	199103
2	199104
2	199105
2	199106
2	199107
2	199108
2	199109
2	199110
2	199111
2	199112
2	199201
2	199202
2	199203
2	199310
2	199311
2	199101
2	199401
2	199508
2	199509
2	199510
2	199511
2	199512
2	199601
2	199602
2	199603
2	199604
2	199605
2	199606
2	199607
2	199608
2	199609
2	199312
2	199507
2	199506
2	199610
2	199504
2	199505
2	199402
2	199403
2	199404
2	199405
2	199407
2	199408
2	199406
2	199410
2	199411
2	199412
2	199501
2	199502
2	199503
2	199409
3	199902
3	199810
3	199811
3	199812
3	199901
3	199903
3	199910
3	199905
3	199906
3	199907
3	199908
3	199909
3	199809
3	199911
3	199904
3	199808
3	199801
3	199806
3	199703
3	199912
3	199704
3	199705
3	199706
3	199707
3	199708
3	199709
3	199710
3	199711
3	199712
3	199802
3	199803
3	199804
3	199805
3	199807
3	200001
3	200106
3	200003
3	200112
3	200201
3	200202
3	200203
3	200204
3	200205
3	200111
3	200206
3	200208
3	200209
3	200210
3	200211
3	200212
3	199702
3	200207
3	200110
3	200109
3	200108
3	200004
3	200005
3	200006
3	200007
3	200008
3	200009
3	200010
3	200011
3	200012
3	200101
3	200102
3	200103
3	200104
3	200105
3	200107
3	200002
3	199701
3	199310
3	199611
3	199206
3	199208
3	199209
3	199210
3	199211
3	199212
3	199205
3	199301
3	199303
3	199304
3	199305
3	199306
3	199307
3	199308
3	199302
3	199309
3	199204
3	199202
3	199612
3	199101
3	199102
3	199103
3	199104
3	199105
3	199203
3	199106
3	199108
3	199109
3	199110
3	199111
3	199112
3	199201
3	199107
3	199311
3	199207
3	199401
3	199508
3	199509
3	199510
3	199511
3	199512
3	199601
3	199602
3	199603
3	199604
3	199605
3	199606
3	199607
3	199608
3	199312
3	199610
3	199507
3	199506
3	199609
3	199504
3	199505
3	199403
3	199404
3	199405
3	199406
3	199407
3	199408
3	199402
3	199410
3	199411
3	199412
3	199501
3	199502
3	199503
3	199409
4	199810
4	199811
4	199812
4	199901
4	199911
4	199902
4	199903
4	199906
4	199905
4	199907
4	199908
4	199909
4	199910
4	199809
4	199904
4	199808
4	199712
4	199806
4	199912
4	199703
4	199704
4	199705
4	199706
4	199707
4	199708
4	199709
4	199710
4	199711
4	199801
4	199802
4	199803
4	199804
4	199805
4	199807
4	200001
4	200212
4	200003
4	200111
4	200112
4	200201
4	200202
4	200203
4	200204
4	200110
4	200205
4	200207
4	200208
4	200209
4	200210
4	200211
4	199702
4	200206
4	200109
4	200108
4	200107
4	200004
4	200005
