Código Tabela	Código Variável
1	151
1	1000151
1	1655
1	1656
1	1657
2	5
3	5
4	8
5	8
6	11
7	11
8	3
9	4
10	5
11	6
12	7
13	8
14	9
15	10
16	11
17	151
17	1000151
17	1655
17	1656
17	1657
18	1657
18	1655
18	1656
18	151
18	1000151
19	33
19	1000033
20	34
20	1000034
21	514
21	521
21	518
21	548
21	559
21	558
21	524
21	520
21	517
21	519
21	561
21	549
21	523
21	522
21	525
21	528
21	563
21	562
21	527
21	550
21	526
21	560
21	547
21	545
21	556
21	37
21	553
21	552
21	497
21	530
21	496
21	543
21	515
21	570
21	551
21	571
21	516
21	498
21	555
21	554
21	500
21	546
21	499
21	513
21	544
21	557
22	44
23	45
24	79
25	77
26	1000001
26	1
27	28
28	28
29	28
30	48
32	50
33	51
34	52
35	53
36	151
36	1000151
36	1655
36	1656
37	1657
37	1656
37	151
37	1000151
37	1655
38	151
38	1000151
38	1655
38	1656
38	1657
39	1657
39	1656
39	151
39	1000151
39	1655
40	151
40	1000151
40	1655
40	1656
40	1657
41	33
41	1000033
42	1000033
42	33
43	33
43	1000033
44	33
44	1000033
45	34
45	1000034
46	34
46	1000034
47	1000034
47	34
48	34
48	1000034
49	19
50	19
51	21
52	21
53	22
54	22
55	20
56	20
57	13
58	63
59	14
60	13
61	66
62	14
63	12
64	12
65	17
66	18
67	17
68	15
69	18
70	15
71	16
72	16
73	105
74	215
74	1000215
74	106
75	25
76	25
77	26
78	26
79	23
80	23
81	24
82	24
83	1655
83	1656
83	151
83	1000151
83	1657
84	74
85	76
86	103
87	151
87	1000151
87	1655
87	1656
87	1657
89	104
90	64
91	65
92	27
93	27
94	107
95	108
96	1000380
96	380
96	1000379
96	379
96	1000378
96	378
96	1001608
96	1000695
96	695
96	1001607
96	1607
96	1000694
96	694
96	1608
97	1349
97	1001349
98	1608
98	1001608
100	60
101	61
102	1526
102	1001526
102	1525
102	1001527
102	1527
102	1001515
102	1001525
102	1001514
102	1514
102	1515
102	1001489
102	1489
102	1001488
102	1488
103	1528
103	1001528
104	32
105	1515
105	1001515
107	1349
107	1001349
108	1532
108	1001531
108	1531
108	1001532
108	1530
108	1001538
108	1001530
108	1001534
108	1534
108	1001529
108	1529
108	1001533
108	1533
108	1538
109	28
117	2306
117	2305
117	75
117	74
117	2303
117	2304
118	306
135	93
135	1000093
136	93
136	1000093
137	93
137	1000093
138	93
138	1000093
139	1000093
139	93
140	1000093
140	93
141	138
141	1000138
142	138
142	1000138
143	138
143	1000138
144	139
144	1000139
145	141
145	1000141
146	1000140
146	140
148	139
148	1000139
149	96
149	1000096
150	96
150	1000096
151	59
151	1000059
152	1000031
152	31
153	30
153	1000030
155	95
156	2048
156	134
156	619
157	99
158	100
159	94
160	1000162
160	162
162	99
163	244
163	1000244
164	244
164	1000244
165	164
165	1000164
166	237
166	1000237
167	1000237
167	237
168	237
168	1000237
169	162
169	1000162
170	94
171	244
171	1000244
172	237
172	1000237
173	1000237
173	237
174	237
174	1000237
175	237
175	1000237
176	162
176	1000162
177	162
177	1000162
178	1000096
178	96
179	96
179	1000096
180	96
180	1000096
181	96
181	1000096
182	96
182	1000096
183	1000096
183	96
184	96
184	1000096
185	96
185	1000096
186	100
187	2594
187	1002594
188	36
190	96
190	1000096
191	96
191	1000096
192	1000217
192	217
194	217
194	1000217
196	96
196	1000096
197	218
197	1000218
198	218
198	1000218
199	1000218
199	218
200	93
200	1000093
201	157
201	1000157
202	93
202	1000093
203	157
203	1000157
204	1000157
204	157
205	93
205	1000093
206	96
206	1000096
207	237
207	1000237
208	162
208	1000162
209	28
211	1665
213	218
213	1000218
214	218
214	1000218
215	1665
215	1001665
216	1774
216	1001774
217	96
218	230
219	230
220	630
220	1001242
220	1242
220	1001785
220	1785
220	1001784
220	1001783
220	1783
220	1001782
220	1782
220	1001781
220	1781
220	1784
220	1777
220	1000822
220	822
220	1001776
220	1776
220	1001775
220	1775
220	1000631
220	631
220	1000630
220	1001777
221	1000093
221	93
222	157
222	1000157
223	149
223	1000149
224	149
224	1000149
225	231
225	1000231
226	230
227	1784
227	1785
227	1783
227	1782
227	1242
227	1781
227	822
227	1777
227	1776
227	1775
227	631
227	630
228	155
228	1000155
229	155
229	1000155
230	1000155
230	155
231	96
231	1000096
232	1000096
232	96
233	96
233	1000096
234	1782
234	1783
234	1001782
234	1001783
234	1242
234	1001784
234	1001785
234	1001781
234	1001242
234	1784
234	1781
234	1785
234	1777
234	1001777
234	630
234	1000630
234	1000631
234	1775
234	631
234	1776
234	1001776
234	822
234	1000822
234	1001775
235	1001795
235	1001793
235	1794
235	1001794
235	1795
235	1796
235	1001798
235	1797
235	1001797
235	1798
235	1793
235	1799
235	1001799
235	1001796
235	1001792
235	1790
235	1001791
235	1854
235	1001854
235	1786
235	1001786
235	1792
235	1001787
235	1787
235	1001788
235	1789
235	1001789
235	1001790
235	1791
235	1788
236	155
236	1000155
237	1001808
237	1808
237	1809
237	1806
237	1001807
237	1001809
237	1807
237	1001810
237	1811
237	1001811
237	1812
237	1001812
237	1001805
237	1810
237	1805
237	1001806
237	1803
237	1001855
237	632
237	1000632
237	1800
237	1001800
237	1908
237	1855
237	1001908
237	1001801
237	1802
237	1001802
237	1001803
237	1804
237	1001804
237	1801
238	1000155
238	155
239	1819
239	1001257
239	1257
239	1001818
239	1818
239	1001861
239	1861
239	1001856
239	1856
239	1001780
239	1780
239	1001779
239	1779
239	1001778
239	1778
239	1001819
239	1817
239	1001817
239	630
239	1000630
239	631
239	1000631
239	1813
239	1001813
239	1814
239	1001814
239	1815
239	1001815
239	1816
239	1001816
239	673
239	1000673
240	155
240	1000155
241	160
242	161
243	155
243	1000155
244	155
244	1000155
245	1001826
245	1827
245	1001831
245	1001827
245	1828
245	1001829
245	1829
245	1826
245	1830
245	1001830
245	1831
245	1001828
245	1001825
245	1823
245	1001824
245	1825
245	630
245	1000630
245	1001820
245	1821
245	1820
245	1822
245	1001822
245	1001823
245	1824
245	1001821
246	1001594
246	1001535
246	1858
246	1001858
246	1594
246	1520
246	1001838
246	1001536
246	1837
246	1001837
246	1838
246	1536
246	1535
246	1001520
246	1001836
246	1001519
246	1001835
246	1835
246	1001834
246	1834
246	1001833
246	1833
246	1001832
246	1832
246	1519
246	1001589
246	1589
246	1001857
246	1857
246	1836
247	96
248	1000168
248	168
249	168
249	1000168
250	1238
250	1001590
250	1590
250	1001846
250	1001238
250	1001845
250	1845
250	1001844
250	1844
250	1001269
250	1269
250	1001843
250	1846
250	1000873
250	630
250	1839
250	1001839
250	1840
250	1001840
250	1000630
250	1001841
250	1842
250	1001842
250	873
250	1841
250	1843
251	134
252	156
253	1001262
253	1001850
253	1850
253	1001849
253	1849
253	1001263
253	1263
253	1262
253	1848
253	1001265
253	1265
253	1001847
253	1847
253	1001859
253	1859
253	1001848
254	151
254	1000151
254	150
254	1000150
255	2173
255	603
255	151
256	96
256	1000096
257	1853
257	630
257	1000630
257	1851
257	1001851
257	1852
257	1001852
257	1001853
258	1785
258	1860
258	709
258	631
258	1244
258	630
259	151
259	1000151
259	153
259	1000153
260	175
261	93
261	1000093
262	1000093
262	93
263	183
263	1000183
263	184
