Código Variável	Nome Variável
1	Domicílios particulares e coletivos - Sinopse (Unidades) - casas decimais:  padrão = 0, máximo = 0
2	Número de estabelecimentos agropecuários que realizaram despesas (Unidades) - casas decimais:  padrão = 0, máximo = 0
3	População residente de 15 anos e mais de idade (Habitantes) - casas decimais:  padrão = 0, máximo = 0
4	População economicamente ativa de 15 anos e mais de idade (Habitantes) - casas decimais:  padrão = 0, máximo = 0
5	População ocupada de 15 anos e mais de idade (%) - casas decimais:  padrão = 3, máximo = 3
6	População desocupada de 15 anos e mais de idade (Habitantes) - casas decimais:  padrão = 0, máximo = 0
7	Taxa de atividade (%) - casas decimais:  padrão = 3, máximo = 3
8	Taxa de desemprego aberto - semana (%) - casas decimais:  padrão = 3, máximo = 3
9	Taxa de desemprego aberto - 30 dias (%) - casas decimais:  padrão = 3, máximo = 3
10	Tempo médio de procura de trabalho (Semanas) - casas decimais:  padrão = 3, máximo = 3
11	Rendimento médio nominal, do trabalho principal, das pessoas ocupadas de 15 anos e mais (Cruzeiros [janeiro 1991 a julho 1993], Cruzeiros Reais [agosto 1993 a junho 1994], Reais [julho 1994 a novembro 2002]) - casas decimais:  padrão = 2, máximo = 2
12	Pessoal ocupado na produção (Número-índice) - casas decimais:  padrão = 2, máximo = 2
13	Número de horas pagas na produção (Número-índice) - casas decimais:  padrão = 2, máximo = 2
14	Número de horas pagas na produção por trabalhador (Número-índice) - casas decimais:  padrão = 2, máximo = 2
15	Salário contratual nominal (Número-índice) - casas decimais:  padrão = 2, máximo = 2
16	Salário contratual real (Número-índice) - casas decimais:  padrão = 2, máximo = 2
17	Salário contratual médio nominal (Número-índice) - casas decimais:  padrão = 2, máximo = 2
18	Salário contratual médio real (Número-índice) - casas decimais:  padrão = 2, máximo = 2
19	Folha de pagamento nominal (Número-índice) - casas decimais:  padrão = 2, máximo = 2
20	Folha de pagamento real (Número-índice) - casas decimais:  padrão = 2, máximo = 2
21	Folha de pagamento nominal por trabalhador (Número-índice) - casas decimais:  padrão = 2, máximo = 2
22	Folha de pagamento real por trabalhador (Número-índice) - casas decimais:  padrão = 2, máximo = 2
23	Valor das horas extras pagas - nominal (Número-índice) - casas decimais:  padrão = 2, máximo = 2
24	Valor das horas extras pagas - real (Número-índice) - casas decimais:  padrão = 2, máximo = 2
25	Valor da produção nominal (Número-índice) - casas decimais:  padrão = 2, máximo = 2
26	Valor da produção real (Número-índice) - casas decimais:  padrão = 2, máximo = 2
27	Taxa de rotatividade (%) - casas decimais:  padrão = 2, máximo = 2
28	Produção física industrial (Número-índice) - casas decimais:  padrão = 2, máximo = 2
29	Quantidade de ovos produzidos (Mil dúzias) - casas decimais:  padrão = 0, máximo = 0
30	Leite resfriado ou não destinado à indústria (Mil litros) - casas decimais:  padrão = 0, máximo = 0
31	Leite pasteurizado (Mil litros) - casas decimais:  padrão = 0, máximo = 0
32	Destino do leite - total (Mil litros) - casas decimais:  padrão = 0, máximo = 0
33	Quantidade de animais abatidos (Cabeças) - casas decimais:  padrão = 0, máximo = 0
34	Peso das carcaças (Quilogramas) - casas decimais:  padrão = 0, máximo = 0
35	Produção (unidade de medida: vide classificação 'Produto das lavouras') - casas decimais:  padrão = 0, máximo = 0
36	Rendimento médio (unidade de medida: vide classificação 'Produto das lavouras') - casas decimais:  padrão = 0, máximo = 0
37	Produto Interno Bruto a preços correntes (Mil Reais) - casas decimais:  padrão = 0, máximo = 3
38	Número de estabelecimentos agropecuários que obtiveram receitas no ano (Unidades) - casas decimais:  padrão = 0, máximo = 0
39	Número de estabelecimentos agropecuários que obtiveram outras receitas no ano (Unidades) - casas decimais:  padrão = 0, máximo = 0
40	Número de estabelecimentos agropecuários com produção (Unidades) - casas decimais:  padrão = 0, máximo = 0
42	Número de estabelecimentos agropecuários com equinos (Unidades) - casas decimais:  padrão = 0, máximo = 0
43	Número de estabelecimentos agropecuários com asininos (Unidades) - casas decimais:  padrão = 0, máximo = 0
44	INPC - Variação mensal (%) - casas decimais:  padrão = 2, máximo = 2
45	INPC - Peso mensal (%) - casas decimais:  padrão = 4, máximo = 4
46	Número de estabelecimentos agropecuários com muares (Unidades) - casas decimais:  padrão = 0, máximo = 0
47	Número de estabelecimentos agropecuários com bubalinos (Unidades) - casas decimais:  padrão = 0, máximo = 0
48	Custo médio m² - moeda corrente (Cruzados Novos [janeiro 1990 a fevereiro 1990], Cruzeiros [março 1990 a julho 1993], Cruzeiros Reais [agosto 1993 a junho 1994], Reais [julho 1994 a abril 2004]) - casas decimais:  padrão = 2, máximo = 2
