código,nome,descrição,atualizado_em,Unidade,num_registros,primeira_data,ultima_data,intervalo_dias,valor_min,valor_max,media_valor,desvio_padrao_valor,media_frequencia,frequencia,status_atividade,status_download
1,"Exchange rate, Free, United States dollar (sale), 1","Exchange rate, Free, United States dollar (sale), 1.",2024-09-15 15:54:06,c.m.u./US$,9972.0,1984-11-28,2024-09-13,2.0,0.829,71153.0,848.4458685318892,4693.351543279467,1.4574809466506218,Diária,Ativa,
10,"Rio de Janeiro stock market (BVRJ), total amount","<p>Rio de Janeiro stock market (BVRJ), total amount.",2024-09-15 15:54:18,c.m.u. (thousand)</p>,2650.0,1989-12-29,2000-08-10,8802.0,0.0,12296528.0,63574.87478150943,371525.74080950767,1.4630188679245284,Diária,Inativa,
100,"Credit operations with nonearmarked funds (preset rate), Balances, Personal credits","<p>Credit operations with nonearmarked funds (preset rate), Balances Personal credits.",2024-09-15 15:54:22,c.m.u. (thousand)</p>,4913.0,1993-06-01,2012-12-31,4276.0,23361.1,278091843.0,69321163.0339625,79668849.20759423,1.455933238347242,Diária,Inativa,
1000,"Credit operations with nonearmarked funds (floating rate), Acquisition of vehicles-individuals Balance in arrears from 31 to 90 days","<p>Credit operations with nonearmarked funds (floating rate), Acquisition of vehicles-individuals, Balance in arrears from 31 to 90 days.",2024-09-15 15:54:28,c.m.u. (thousand)</p>,151.0,2000-06-01,2012-12-01,4306.0,0.0,134.0,5.377483443708609,22.96337423575618,30.23841059602649,Mensal,Inativa,
10000,"FDI, France, Manufacture of eletric machines, apparatus and materials, 10000","FDI, France, Manufacture of eletric machines, apparatus and materials, 10000.",2024-09-15 15:54:29,US$ (million),10.0,2001-05-01,2004-09-01,7319.0,0.18,29.57,11.19,9.723267626334952,121.9,Indeterminado,Inativa,
10001,"FDI, France, Manufacture of eletronic materials and communication apparatus, 10001","FDI, France, Manufacture of eletronic materials and communication apparatus, 10001.",2024-09-15 15:54:29,US$ (million),11.0,2001-07-01,2005-06-01,7046.0,0.03,100.0,10.6,29.778457985597576,130.0909090909091,Indeterminado,Inativa,
10002,FDI - France - Manufacture of furniture and other industries,FDI - France - Manufacture of furniture and other industries,2024-09-15 15:54:30,US$ (million),3.0,2002-04-01,2005-02-01,7166.0,0.02,10.0,4.14,5.212561750233757,345.6666666666667,Indeterminado,Inativa,
10003,"FDI, France, Manufacture of food and beverages, 10003","FDI, France, Manufacture of food and beverages, 10003.",2024-09-15 15:54:30,US$ (million),28.0,2001-04-01,2005-06-01,7046.0,0.0,176.9,13.67785714285714,34.26403603792854,54.35714285714285,Indeterminado,Inativa,
10004,FDI - France - Manufacture of metal products,FDI - France - Manufacture of metal products,2024-09-15 15:54:31,US$ (million),4.0,2003-04-01,2005-05-01,7077.0,0.1,5.0,1.4375,2.3811814294589144,190.25,Indeterminado,Inativa,
10005,FDI - France - Manufacture of non-metallic mineral products,FDI - France - Manufacture of non-metallic mineral products,2024-09-15 15:54:31,US$ (million),3.0,2001-05-01,2004-09-01,7319.0,1.84,85.47,35.45,44.16401589529647,406.3333333333333,Indeterminado,Inativa,
10007,"FDI, France, Manufacture of chemical products, 10007","FDI, France, Manufacture of chemical products, 10007.",2024-09-15 15:54:32,US$ (million),30.0,2001-03-01,2005-06-01,7046.0,0.0,132.6,19.42333333333334,30.68665051028264,51.766666666666666,Indeterminado,Inativa,
