Nome da tabela;Variáveis disponíveis para a tabe;Classificações e subclassificações disponíveis para a t;Relevância para análises acadêmi;Relevância para análises econômi;Relevância para análise para investimen;Relevância para análises ambienta;Relevância para análises socia;Relevância para avaliações governament;Relevância para análises políti;Relevância para análises de sa�;Relevância para análises sobre educa�;Relevância para redução da desiguald;Relevância para desenvolvimento econômico nacion;Relevância globa
INPC - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de abr;"['(2289, ""INPC - Número-índice (base: dezembro de 1993 = 100) (Número-índ"")', '(44, ""INPC - Variação mensal (%) [abril 1979 a agosto 202"")', '(2290, ""INPC - Variação acumulada em 3 meses (%) [junho 1979 a agosto 202"")', '(2291, ""INPC - Variação acumulada em 6 meses (%) [setembro 1979 a agosto 202"")', '(68, ""INPC - Variação acumulada no ano (%) [janeiro 1980 a agosto 202"")', '(2292, ""INPC - Variação acumulada em 12 meses (%) [março 1980 a agosto 20"")']";[];;;;;;;;;;;;
IPCA dessazonalizado - Série histórica com a variação mensal (a partir de janeiro/1;"['(306, ""IPCA dessazonalizado - Variação mensal ("")']";[];;;;;;;;;;;;
IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezemb;"['(2266, ""IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índ"")', '(63, ""IPCA - Variação mensal (%) [janeiro 1980 a agosto 202"")', '(2263, ""IPCA - Variação acumulada em 3 meses (%) [março 1980 a agosto 20"")', '(2264, ""IPCA - Variação acumulada em 6 meses (%) [junho 1980 a agosto 202"")', '(69, ""IPCA - Variação acumulada no ano (%) [janeiro 1980 a agosto 202"")', '(2265, ""IPCA - Variação acumulada em 12 meses (%) [dezembro 1980 a agosto 202"")']";[];;;;;;;;;;;;
IPCA15 - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de ma;"['(1117, ""IPCA15 - Número-índice (base: dezembro de 1993 = 100) (Número-índ"")', '(355, ""IPCA15 - Variação mensal ("")', '(1118, ""IPCA15 - Variação acumulada em 3 meses ("")', '(1119, ""IPCA15 - Variação acumulada em 6 meses ("")', '(356, ""IPCA15 - Variação acumulada no ano ("")', '(1120, ""IPCA15 - Variação acumulada em 12 meses ("")']";[];;;;;;;;;;;;
Taxa de investimento;"['(2517, ""Taxa de investimento (%)"")']";[];;;;;;;;;;;;
Taxa de poupanç;"['(9774, ""Taxa de poupança (%"")']";[];;;;;;;;;;;;
Custo médio m² em moeda corrente e variações percentuais no mês, no ano e em doze ;"['(48, ""Custo médio m² - moeda corrente (Reais) [setembro 2012 a agosto 202"")', '(2119, ""Custo médio m² - componente material - moeda corrente (Reais) [setembro 2012 a agosto 202"")', '(2120, ""Custo médio m² - componente mão-de-obra - moeda corrente (Reais) [setembro 2012 a agosto 20"")', '(49, ""Custo médio m² - número-índice (Número-í"")', '(1193, ""Custo médio m² - componente material - número-índice (Número-índice) [junho 1994 a agosto"")', '(1232, ""Custo médio m² - componente mão-de-obra - número-índice (Número-índice) [junho 1994 a agost"")', '(1196, ""Custo médio m² - variação percentual no mês (%) [setembro 2012 a agosto "")', '(1197, ""Custo médio m² - variação percentual no ano (%) [setembro 2012 a agosto 2"")', '(1198, ""Custo médio m² - variação percentual em doze meses (%) [setembro 2012 a agosto 2"")']";[];;;;;;;;;;;;
População residente estima;"['(9324, ""População residente estimada (Pessoa"")']";[];;;;;;;;;;;;
IPCA - Série histórica com número-índice, variação mensal e variações acumuladas a partir de 12 meses (a partir de novemb;"['(2266, ""IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índ"")', '(63, ""IPCA - Variação mensal ("")', '(9798, ""Variação acumulada (%) [novembro 2015 a agosto 202"")', '(9799, ""Número de meses (Unidades) [novembro 2015 a agosto 2024"")', '(9800, ""Variação acumulada (entrante) (%) [novembro 2016, novembro 2017, novembro 2018, novembro 2019, novembro 2020, novembro 2021, novembro 2022, novembro 202"")', '(9801, ""Número de meses (entrante) (Unidades) [novembro 2016, novembro 2017, novembro 2018, novembro 2019, novembro 2020, novembro 2021, novembro 2022, novembro 2023"")']";[];;;;;;;;;;;;
População e Distribuição da população pelas Grandes Regiões e Unidades da Federação nos Censos Dem;"['(606, ""População (Pessoa"")', '(590, ""Distribuição da população"")']";[];;;;;;;;;;;;
Vacas ordenhadas;"['(107, ""Vacas ordenhadas (Cabeças"")']";[];;;;;;;;;;;;
Ovinos tosquiados;"['(108, ""Ovinos tosquiados nos estabelecimentos agropecuários (Cabeça"")']";[];;;;;;;;;;;;
Nível da desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade - Total, coeficiente de variação, variações em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do;"['(4098, ""Nível da desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"")', '(4102, ""Coeficiente de variação - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de ida"")', '(8800, ""Variação em relação a três trimestres móveis anteriores - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [abr-mai-jun 2012 a jun-jul"")', '(8803, ""Situação da Variação em relação a três trimestres móveis anteriores - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [abr-mai-jun 2012 a jun-j"")', '(8805, ""Variação em relação ao mesmo trimestre móvel do ano anterior - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Ponto percentual) [jan-fev-mar 2013 a jun-jul-"")', '(8808, ""Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (Nenhuma) [jan-fev-mar 2013 a jun-ju"")']";[];;;;;;;;;;;;
