Símbolo	Nome	Tipo de Ativo
USDBRL=X	USD/BRL	CURRENCY
EURBRL=X	EUR/BRL	CURRENCY
GBPBRL=X	GBP/BRL	CURRENCY
JPYBRL=X	JPY/BRL	CURRENCY
CADBRL=X	CAD/BRL	CURRENCY
AUDBRL=X	AUD/BRL	CURRENCY
CHFBRL=X	CHF/BRL	CURRENCY
MXNBRL=X	MXN/BRL	CURRENCY
HKDBRL=X	HKD/BRL	CURRENCY
ZN=F	10-Year T-Note Futures,Dec-2024	FUTURE
^IRX	13 WEEK TREASURY BILL	INDEX
UVIX	VS TR 2x Long VIX Futures ETF	ETF
MMMC34.SA	3M          DRN	EQUITY
MMM	3M Company	EQUITY
ABTT34.SA	Abbott Laboratories	EQUITY
ABBV34.SA	ABBVIE      DRN	EQUITY
ACNB34.SA	ACCENTURE   DRN	EQUITY
ADBE34.SA	ADOBE INC   DRN	EQUITY
ADBE	Adobe Inc.	EQUITY
A1AP34.SA	Advance Auto Parts, Inc.	EQUITY
A1MD34.SA	Advanced Micro Devices, Inc.	EQUITY
A1EG34.SA	AEGON LTD   DRN	EQUITY
AERI3.SA	Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A.	EQUITY
AESB3.SA	AES Brasil Energia S.A.	EQUITY
RBED11.SA	Aesapar Fundo de Investimento Imobiliário - FII	EQUITY
AFHI11.SA	Af Invest Cri Fundo De Investimento Imobiliario – Recebiveis Imobiliarios	EQUITY
AFLT3.SA	Afluente Transmissão de Energia Elétrica S.A.	EQUITY
A2FY34.SA	AFYA LTD    DRN	EQUITY
A1GI34.SA	Agilent Technologies, Inc.	EQUITY
AGXY3.SA	AgroGalaxy Participações S.A.	EQUITY
A1PD34.SA	Air Products and Chemicals, Inc.	EQUITY
AIRB34.SA	AIRBNB      DRN	EQUITY
A1KA34.SA	Akamai Technologies, Inc.	EQUITY
A1LB34.SA	Albemarle Corporation	EQUITY
A2LC34.SA	ALCON INC   DRN	EQUITY
A1RE34.SA	Alexandria Real Estate Equities, Inc.	EQUITY
RPAD3.SA	Alfa Holdings S.A.	EQUITY
RPAD6.SA	Alfa Holdings S.A.	EQUITY
ALZC11.SA	Alianza Crédito Imobiliário Fundo De Investimento Imobiliário	EQUITY
ALZM11.SA	Alianza Fofii Fundo De Investimento Imobiliario	EQUITY
ALZR11.SA	Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario	EQUITY
BABA34.SA	Alibaba Group Holding Limited	EQUITY
^AORD	ALL ORDINARIES [XAO]	INDEX
AALR3.SA	Alliança Saúde e Participações S.A.	EQUITY
ALLD3.SA	ALLIED      ON      NM	EQUITY
ALOS3.SA	ALLOS       ON      NM	EQUITY
ALPK3.SA	Allpark Empreendimentos, Participações e Serviços S.A.	EQUITY
EXCO32.SA	Almacenes Éxito S.A.	EQUITY
