código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
1798	Fatores condicionantes da base monetária, outras contas (saldo diário)	Autoridade Monetária	6	Un. Monet. Corr. (milhares)	Diária	04/02/1991	8428	Reflete o saldo diário de outras contas da autoridade monetária que influenciam a base monetária, essencial para avaliar o impacto total da política monetária sobre a liquidez.	Factors conditioning the monetary base, Monetary Authority-other accounts (daily balance)	BCB - Banco Central do Brasil
20239	Créditos sobre não residentes	Autoridade Monetária	5	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os créditos da autoridade monetária sobre entidades estrangeiras, importante para entender as relações financeiras internacionais do país e sua exposição ao risco externo.	Claims on Nonresidents, Monetary Authority	BCB - Banco Central do Brasil
20240	Passivos perante não residentes	Autoridade Monetária	6	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Mede os passivos da autoridade monetária perante entidades estrangeiras, fundamental para entender a exposição externa do país e o risco cambial.	Liabilities to Nonresidents, Monetary Authority	BCB - Banco Central do Brasil
20241	Créditos sobre outras instituições depositárias	Autoridade Monetária	6	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os créditos da autoridade monetária sobre outras instituições financeiras, usado para avaliar o nível de liquidez e crédito fornecido a bancos e outras instituições do sistema financeiro.	Claims on Other Depository Corporations, Monetary authority	BCB - Banco Central do Brasil
20242	Créditos sobre o Governo Central	Autoridade Monetária	6	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os créditos que a autoridade monetária (Banco Central) detém sobre o governo central, essencial para analisar a política fiscal e o endividamento governamental.	Claims on Central Government, Monetary Authority	BCB - Banco Central do Brasil
20243	Passivos perante o Governo Central	Autoridade Monetária	7	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os passivos da autoridade monetária perante o governo central, essencial para avaliar a dívida pública e o balanço financeiro do país.	Liabilities to Central Government, Monetary Authority	BCB - Banco Central do Brasil
20244	Créditos sobre outras instituições financeiras	Autoridade Monetária	5	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os créditos concedidos pela autoridade monetária a outras instituições financeiras não bancárias, como seguradoras e fundos, usado para avaliar o suporte financeiro oferecido ao setor financeiro mais amplo.	Claims on Other Financial Corporations, Monetary Authority	BCB - Banco Central do Brasil
20245	Créditos sobre governos estaduais e municipais	Autoridade Monetária	6	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os créditos da autoridade monetária sobre governos locais, essencial para avaliar a saúde financeira e a capacidade de endividamento de estados e municípios.	Claims on State and Local Governments, Monetary Authority	BCB - Banco Central do Brasil
20246	Passivos - Moeda em circulação	Autoridade Monetária	9	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete o valor total da moeda em circulação no país, uma variável importante para monitorar a liquidez e a inflação.	Liability, Currency in Circulation, Monetary Authority	BCB - Banco Central do Brasil
20247	Passivos perante outras instituições depositárias	Autoridade Monetária	7	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os passivos da autoridade monetária em relação a outras instituições depositárias, útil para avaliar a liquidez e o suporte ao sistema financeiro.	Liabilities to Other Depository Corporations, Monetary Authority	BCB - Banco Central do Brasil
20248	Passivos perante outros setores	Autoridade Monetária	6	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Mede os passivos da autoridade monetária perante outros setores da economia, importante para entender a relação entre o Banco Central e o setor privado.	Liabilities to Other Sectors, Monetary Authority	BCB - Banco Central do Brasil
20249	Outros Passivos para Outras Instituições Depositárias	Autoridade Monetária	7	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os passivos da autoridade monetária perante outras instituições depositárias, importantes para entender a liquidez e a saúde do sistema bancário.	Other Liabilities to Other Depository Corporations, Monetary Authority	BCB - Banco Central do Brasil
20250	Passivos - Depósitos e títulos excluídos da base monetária	Autoridade Monetária	7	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Mede os passivos da autoridade monetária em relação a depósitos e títulos que não fazem parte da base monetária, essencial para analisar a liquidez e o controle financeiro.	Liability, Deposits and Securities Excluded from Monetary Base, Monetary Authority	BCB - Banco Central do Brasil
20251	Passivos - Ações e outros capitais	Autoridade Monetária	6	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Mede o valor das ações e outros capitais detidos pela autoridade monetária, essencial para avaliar a composição do patrimônio líquido do Banco Central.	Liability- Shares and Other Equity, Monetary Authority	BCB - Banco Central do Brasil
20252	Passivos - Outros itens (Líquido)	Autoridade Monetária	6	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os passivos líquidos da autoridade monetária em relação a outros itens, como ajustes contábeis e provisões, essenciais para avaliar o balanço do Banco Central.	Liability- Other Items (Net), Monetary Authority	BCB - Banco Central do Brasil
20304	Ativos Externos Líquidos	Autoridade Monetária	8	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete o saldo líquido dos ativos externos mantidos pelo Banco Central, importante para avaliar as reservas internacionais e a posição líquida de divisas.	Net Foreign Assets, Monetary Authority	BCB - Banco Central do Brasil
20305	Créditos líquidos sobre o Governo Central	Autoridade Monetária	7	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os créditos líquidos do Banco Central em relação ao governo, útil para monitorar a dívida pública e a relação entre o governo e o Banco Central.	Net Claims on Central Government, Monetary Authority	BCB - Banco Central do Brasil
20306	Base monetária	Autoridade Monetária	8	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete o total da base monetária, composto por moeda em circulação e reservas bancárias, essencial para entender a liquidez disponível no sistema financeiro.	Reserve Money, Monetary Authority	BCB - Banco Central do Brasil
20479	Créditos sobre outros setores	Autoridade Monetária	6	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os créditos da autoridade monetária sobre outros setores da economia, como o setor produtivo, importante para avaliar o suporte oferecido pela política monetária ao setor privado.	Claims on Other Sectors, Monetary Authority	BCB - Banco Central do Brasil
20499	Ativos	Autoridade Monetária	7	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete o total de ativos detidos pela autoridade monetária (Banco Central), usado para analisar a política monetária e a base monetária disponível para as operações do governo.	Assets, Monetary Authority	BCB - Banco Central do Brasil
20500	Passivos	Autoridade Monetária	8	Un. Monet. Corr. (milhões)	Mensal	01/12/2004	237	Reflete os passivos totais da autoridade monetária, usados para monitorar a saúde financeira e o equilíbrio do Banco Central.	Liability, Monetary Authority	BCB - Banco Central do Brasil
