código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
1380	Exportação de veículos	Comércio Exterior	7	Unidades	Mensal	01/02/1981	523	Reflete o número de veículos exportados mensalmente, indicador importante da performance do setor automotivo no mercado externo.	Vehicle exports	BCB - Banco Central do Brasil
13962	Ordens com clientes do setor comercial, exportações, total	Comércio Exterior	8	US$ (milhões)	Diária	01/09/2008	4017	Reflete o valor total diário das exportações realizadas por clientes do setor comercial, essencial para monitorar o comércio exterior.	Orders with clients in the commercial sector, exports, total	BCB - Banco Central do Brasil
13963	Ordens com clientes do setor comercial, exportações, adiantamentos sobre contratos de exportação	Comércio Exterior	7	US$ (milhões)	Diária	01/09/2008	4017	Reflete o valor diário dos adiantamentos recebidos em contratos de exportação, essencial para entender a dinâmica de financiamento das exportações.	Orders with clients in the commercial sector, exports, advances on export contracts	BCB - Banco Central do Brasil
13964	Operações com clientes do setor comercial, exportações, pagamento antecipado, diárias	Comércio Exterior	7	US$ (milhões)	Diária	01/09/2008	4017	Reflete o valor diário de exportações com pagamento antecipado, importante para entender o fluxo de capital nas exportações.	Operations with clients in the commercial sector, exports, payment in advance, daily	BCB - Banco Central do Brasil
13965	Operações com clientes do setor comercial, exportações, outras, diárias	Comércio Exterior	6	US$ (milhões)	Diária	01/09/2008	4017	Reflete o valor diário das exportações de outras categorias, além de mercadorias e serviços tradicionais.	Operations with clients in the commercial sector, exports, others, daily	BCB - Banco Central do Brasil
13966	Operações com clientes do setor comercial, importações	Comércio Exterior	8	US$ (milhões)	Diária	01/09/2008	4017	Reflete o valor diário das operações de importação realizadas pelo setor comercial.	Operations with clients in the commercial sector, imports	BCB - Banco Central do Brasil
13967	Operações com clientes do setor comercial, saldo	Comércio Exterior	7	US$ (milhões)	Diária	01/09/2008	4017	Reflete o saldo das operações diárias com clientes do setor comercial, importante para entender o fluxo de divisas no comércio exterior.	Operations with clients in the commercial sector, balance	BCB - Banco Central do Brasil
13968	Operações com clientes do setor financeiro, compras	Comércio Exterior	6	US$ (milhões)	Diária	01/09/2008	4017	Reflete o valor diário das compras realizadas no setor financeiro, usado para monitorar o fluxo de capital.	Operations with clients in the financial sector, purchases	BCB - Banco Central do Brasil
13969	Operações com clientes do setor financeiro, vendas	Comércio Exterior	6	US$ (milhões)	Diária	01/09/2008	4017	Reflete o valor diário das vendas no setor financeiro, importante para monitorar a entrada de divisas e o fluxo de capital.	Operations with clients in the financial sector, sales	BCB - Banco Central do Brasil
13970	Operações com clientes do setor financeiro, saldo	Comércio Exterior	7	US$ (milhões)	Diária	01/09/2008	4017	Reflete o saldo diário das operações com clientes do setor financeiro, essencial para entender o fluxo de divisas nesse setor.	Operations with clients in the financial sector, balance	BCB - Banco Central do Brasil
