código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
432	Meta da Taxa de Juros Selic	Confiança, Expectativas e Metas	9	% ao ano	Diária	05/03/1999	9330	Representa a meta da taxa de juros definida pelo Banco Central para controlar a inflação e o custo do crédito no Brasil.	Interest rate, Selic target	BCB - Banco Central do Brasil
4393	Índice de Confiança do Consumidor	Confiança, Expectativas e Metas	8	Índice	Mensal	01/04/1999	305	Mede a percepção dos consumidores sobre a situação econômica atual e expectativas futuras. Utilizado para prever o comportamento de consumo e impacto no crescimento econômico.	Consumer confidence index	BCB - Banco Central do Brasil
4394	Índice de Condições Econômicas Atuais	Confiança, Expectativas e Metas	8	Índice	Mensal	01/04/1999	305	Reflete a percepção das condições econômicas atuais, incluindo crescimento, inflação e mercado de trabalho. Essencial para prever tendências de curto prazo na economia.	Current economic conditions index	BCB - Banco Central do Brasil
4395	Índice de Expectativas Futuras	Confiança, Expectativas e Metas	8	Índice	Mensal	01/04/1999	305	Mede as expectativas futuras dos agentes econômicos sobre a economia, utilizado para prever tendências de longo prazo e o comportamento de consumo e investimento.	Future expectations index	BCB - Banco Central do Brasil
13521	Meta de inflação	Confiança, Expectativas e Metas	9	%	Anual	01/01/1999	27	Reflete a meta de inflação anual estabelecida pelo Banco Central, usada como guia para a política monetária e controle da inflação.	Target inflation rate	BCB - Banco Central do Brasil
17660	Índice de Confiança de Serviços (ICS)	Confiança, Expectativas e Metas	7	Pontos	Mensal	01/06/2008	195	Mede a confiança dos empresários do setor de serviços, essencial para avaliar as expectativas e o desempenho do setor.	Sondagem de Serviços, Índice de Confiança de Serviços	BCB - Banco Central do Brasil
17661	Índice de Situação Atual de Serviços (ISA-S)	Confiança, Expectativas e Metas	7	Pontos	Mensal	01/06/2008	195	Reflete a percepção atual dos empresários sobre o desempenho do setor de serviços, usado para avaliações econômicas de curto prazo.	Sondagem de Serviços, Índice de Situação Atual (ISA-S)	BCB - Banco Central do Brasil
17662	Índice de Expectativas de Serviços (IE-S)	Confiança, Expectativas e Metas	8	Pontos	Mensal	01/06/2008	195	Reflete as expectativas futuras dos empresários de serviços, usado para avaliar o otimismo em relação ao futuro do setor.	Sondagem de Serviços, Índice de Expectativas (IE-S)	BCB - Banco Central do Brasil
20339	Índice de Confiança de Serviços (ICS), dessazonalizado	Confiança, Expectativas e Metas	7	Pontos	Mensal	01/06/2008	195	Reflete a confiança no setor de serviços ajustada para efeitos sazonais, útil para eliminar variações temporárias.	Sondagem de Serviços, Índice de Confiança de Serviços, Dessazonalizado	BCB - Banco Central do Brasil
20340	Índice de Situação Atual de Serviços (ISA-S), dessazonalizado	Confiança, Expectativas e Metas	7	Pontos	Mensal	01/06/2008	195	Reflete a situação atual ajustada para efeitos sazonais, permitindo uma visão mais clara do desempenho do setor de serviços.	Sondagem de Serviços, Índice de Situação Atual (ISA-S), Dessazonalizado	BCB - Banco Central do Brasil
20341	Índice de Expectativas de Serviços (IE-S), dessazonalizado	Confiança, Expectativas e Metas	7	Pontos	Mensal	01/06/2008	195	Mede as expectativas futuras ajustadas para efeitos sazonais, essencial para projeções econômicas no setor de serviços.	Sondagem de Serviços, Índice de Expectativas (IE-S), Dessazonalizado	BCB - Banco Central do Brasil
