código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
11	Taxa de Juros Básica do Brasil (Selic - Sistema Especial de Liquidação e de Custódia)	Juros	10	% ao dia	Diária	04/06/1986	9597	Principal taxa de juros do Brasil, utilizada pelo Banco Central para controlar a inflação e o custo do crédito. Serve como referência para a maioria das taxas de empréstimos e financiamentos no país.	Interest rate, Selic	BCB - Banco Central do Brasil
12	Taxa de Juros entre Bancos no Brasil (CDI - Certificado de Depósito Interbancário)	Juros	10	% ao dia	Diária	06/03/1986	9638	Taxa de referência usada em empréstimos entre bancos, amplamente utilizada como base para investimentos em renda fixa e contratos financeiros no Brasil.	Interest rate, CDI	BCB - Banco Central do Brasil
226	Taxa Referencial (TR)	Juros	8	% ao mês	Diária	01/02/1991	12505	Reflete a variação mensal da Taxa Referencial (TR), amplamente usada em contratos de financiamento imobiliário e outros produtos financeiros.	Referential rate (TR)	BCB - Banco Central do Brasil
227	Taxa referencial pro-rata (TR pro-rata)	Juros	7	% ao dia	Diária	01/06/1993	11573	Reflete a taxa diária ajustada da Taxa Referencial (TR), amplamente utilizada no cálculo de financiamentos e contratos de crédito imobiliário.	Pro-rata reference rate (TR pro-rata)	BCB - Banco Central do Brasil
253	Taxa Básica Financeira (TBF)	Juros	8	% ao mês	Diária	01/07/1995	10862	Reflete a taxa de juros de referência calculada com base na rentabilidade média dos títulos públicos federais. É usada como referência para empréstimos e financiamentos de longo prazo.	Base Financial Rate (TBF)	BCB - Banco Central do Brasil
254	Taxa base financeira pro-rata (TBF pro-rata)	Juros	7	% ao dia	Diária	01/07/1995	10862	Reflete a taxa diária ajustada da Taxa Base Financeira (TBF), usada em contratos financeiros de curto prazo.	Pro rata base financial rate (TBF pro-rata)	BCB - Banco Central do Brasil
256	Taxa de Juros de Longo Prazo (TJLP)	Juros	7	% ao ano	Mensal	01/12/1994	358	Reflete a taxa de juros de longo prazo usada em financiamentos de projetos de infraestrutura e operações de crédito de longo prazo, essencial para o planejamento de investimentos.	Long term interest rate (TJLP)	BCB - Banco Central do Brasil
1178	Taxa de Juros Selic em termos anuais (base 252 dias/ano)	Juros	9	% ao ano	Diária	04/06/1986	9597	Reflete a taxa de juros Selic diária ajustada para termos anuais, importante para contratos de financiamento e políticas monetárias de longo prazo.	Interest rate, Selic in annual terms (basis 252)	BCB - Banco Central do Brasil
4189	Taxa de Juros Selic acumulada no mês em termos anuais (base 252 dias/ano)	Juros	8	% ao ano	Mensal	01/08/1986	458	Mede a taxa de juros Selic acumulada no mês ajustada para termos anuais, essencial para comparar a política de juros ao longo do ano.	Interest rate, Selic accumulated in the month in annual terms (basis 252)	BCB - Banco Central do Brasil
4389	Taxa de Juros CDI em termos anuais (base 252 dias/ano)	Juros	9	% ao ano	Diária	06/03/1986	9638	Reflete a taxa de juros CDI diária ajustada para termos anuais, usada como referência em contratos financeiros e aplicações de renda fixa.	Interest rate, CDI in annual terms (basis 252)	BCB - Banco Central do Brasil
4390	Taxa de Juros Selic acumulada no mês	Juros	8	% ao mês	Mensal	01/08/1986	458	Reflete a taxa de juros Selic acumulada durante o mês, utilizada para avaliar o impacto da política monetária sobre o crédito e a inflação ao longo do mês.	Interest rate, Selic accumulated in the month	BCB - Banco Central do Brasil
4391	Taxa de Juros CDI acumulada no mês	Juros	8	% ao mês	Mensal	01/08/1986	458	Reflete a taxa de juros CDI acumulada durante o mês, usada para avaliar a rentabilidade de investimentos de renda fixa ao longo do mês.	Interest rate, CDI accumulated in the month	BCB - Banco Central do Brasil
4392	Taxa de Juros CDI acumulada no mês em termos anuais (base 252 dias/ano)	Juros	8	% ao ano	Mensal	01/08/1986	458	Mede a taxa de juros CDI acumulada no mês, ajustada para termos anuais, usada para comparar a rentabilidade anual de investimentos.	Interest rate, CDI accumulated in the month in annual terms (basis 252)	BCB - Banco Central do Brasil
7811	Taxa Referencial (TR), primeiro dia do mês	Juros	7	% ao mês	Mensal	01/03/1991	403	Mede a TR no primeiro dia de cada mês, usada como base para ajustes em contratos financeiros, como financiamentos habitacionais.	Referential rate (TR), first day of the month	BCB - Banco Central do Brasil
7812	Taxa Referencial (TR), primeiro dia do mês, em termos anuais	Juros	8	% ao ano	Mensal	01/03/1991	403	Reflete a taxa referencial ajustada anualmente, usada para indexar contratos de crédito e financiamentos de longo prazo.	Referential rate (TR), First day of the month in annual terms	BCB - Banco Central do Brasil
7813	Taxa Básica Financeira (TBF), primeiro dia do mês	Juros	7	% ao mês	Mensal	01/08/1995	350	Taxa de referência usada em cálculos de financiamento e correção monetária, aplicável ao primeiro dia de cada mês.	Base financial rate (TBF), First day of the month	BCB - Banco Central do Brasil
7814	Taxa Básica Financeira (TBF), primeiro dia do mês em termos anuais	Juros	7	% ao ano	Mensal	01/08/1995	350	Taxa de referência anualizada usada para financiamentos de longo prazo, calculada com base nos juros dos títulos públicos federais.	Base financial rate (TBF), First day of the month in annual terms	BCB - Banco Central do Brasil
7815	Taxa de Juros de Longo Prazo (TJLP) em termos mensais	Juros	7	% ao mês	Mensal	01/01/1995	357	Reflete a taxa de juros de longo prazo usada em financiamentos de projetos de infraestrutura e outras operações de crédito de longo prazo, essencial para o planejamento de investimentos.	Interest rate, TJLP in monthly terms	BCB - Banco Central do Brasil
12501	Taxa de Juros de Mora sobre Multas Aplicadas pelo Banco Central	Juros	6	Índice	Mensal	01/01/1964	729	Mede a taxa de juros aplicada sobre multas e penalidades impostas pelo Banco Central, usada para calcular o montante devido em casos de inadimplência.	Delinquency Interest Rate on Fines Applied by Banco Central	BCB - Banco Central do Brasil
