código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
23	Saldo diário das cadernetas de poupança (Sistema Brasileiro de Poupança e Empréstimos (SBPE) e rural)	Poupança	7	Un. Monet. Corr. (milhares)	Diária	22/08/1991	8275	Reflete o saldo total diário de poupança no sistema SBPE e no setor rural, essencial para entender a evolução da poupança em todo o território nacional, incluindo áreas urbanas e rurais.	Daily savings deposits balance, Brazilian system of savings deposits and loans (SBPE) and rural	BCB - Banco Central do Brasil
24	Fluxo líquido diário das cadernetas de poupança (Sistema Brasileiro de Poupança e Empréstimos (SBPE) e rural)	Poupança	7	Un. Monet. Corr. (milhares)	Diária	22/08/1991	8275	Mede o fluxo líquido diário de depósitos no sistema SBPE e rural, importante para avaliar a evolução da poupança tanto no setor urbano quanto rural.	Daily saving deposits net inflow, Brazilian system of saving deposits and loans (SBPE) and rural	BCB - Banco Central do Brasil
25	Depósitos de poupança até 05.03.2012, retorno no período	Poupança	8	% ao mês	Diária	01/02/1991	11296	Mede o retorno dos depósitos de poupança feitos antes da alteração de 05.03.2012, usado para avaliar o rendimento conforme as regras antigas.	Saving deposits up to 05.03.2012, Return in the time period	BCB - Banco Central do Brasil
195	Depósitos de poupança após 05.04.2012, retorno no período	Poupança	8	% ao mês	Diária	04/05/2012	4153	Mede o retorno dos depósitos de poupança conforme a nova regra pós 05.04.2012, essencial para avaliar a rentabilidade.	Saving deposits after 05.04.2012, Return in the time period	BCB - Banco Central do Brasil
196	Depósitos de poupança após 05.04.2012, retorno no período (primeiro dia do mês)	Poupança	7	% ao mês	Mensal	01/06/2012	148	Reflete o retorno dos depósitos de poupança ajustado no primeiro dia do mês, importante para os cálculos de rendimento periódico.	Saving deposits after 05.04.2012, Return in the time period (1st day of the month)	BCB - Banco Central do Brasil
204	Depósitos de poupança após 05.04.2012, retorno adicional no período	Poupança	7	% ao mês	Diária	04/05/2012	4153	Mede o retorno adicional dos depósitos de poupança realizados após a mudança na regra de 05.04.2012, importante para avaliar a rentabilidade do investimento.	Saving deposits after 05.04.2012, Additional return in the time period	BCB - Banco Central do Brasil
239	Saldo diário das cadernetas de poupança, Sistema Brasileiro de Poupança e Empréstimos (SBPE)	Poupança	7	Un. Monet. Corr. (milhares)	Diária	22/08/1991	8275	Mede o saldo total das cadernetas de poupança no sistema SBPE, usado para analisar o volume de poupança disponível para empréstimos e sua evolução ao longo do tempo.	Daily savings deposits balance, Brazilian system of saving deposits and loans (SBPE)	BCB - Banco Central do Brasil
240	Fluxo líquido diário das cadernetas de poupança, Sistema Brasileiro de Poupança e Empréstimos (SBPE)	Poupança	7	Un. Monet. Corr. (milhares)	Diária	22/08/1991	8275	Reflete o fluxo líquido diário de depósitos nas cadernetas de poupança do SBPE, essencial para entender a captação líquida e a evolução da poupança no sistema bancário brasileiro.	Daily saving deposits net inflow, Brazilian system of saving deposits and loans (SBPE)	BCB - Banco Central do Brasil
241	Saldo diário das cadernetas de poupança, Rural	Poupança	6	Un. Monet. Corr. (milhares)	Diária	22/08/1991	8274	Mede o saldo total das cadernetas de poupança em áreas rurais, útil para analisar o comportamento da poupança e o volume disponível para empréstimos no setor rural.	Daily saving deposits balance, Rural	BCB - Banco Central do Brasil
242	Fluxo líquido diário das cadernetas de poupança, Rural	Poupança	6	Un. Monet. Corr. (milhares)	Diária	22/08/1991	8275	Reflete o fluxo líquido de depósitos diários em cadernetas de poupança no setor rural, essencial para entender o comportamento de poupança nas áreas rurais.	Daily saving deposits net inflow, Rural	BCB - Banco Central do Brasil
7828	Depósitos de poupança até 05.03.2012, retorno no período (primeiro dia do mês)	Poupança	7	% ao mês	Mensal	01/12/1966	556	Mede o retorno no primeiro dia do mês para depósitos feitos até 05.03.2012, relevante para comparar regras antigas de poupança.	Saving deposits up to 05.03.2012, Return in the time period (1st day of the month)	BCB - Banco Central do Brasil
7836	Saldo mensal de depósitos de poupança (Sistema Brasileiro de Poupança e Empréstimos (SBPE))	Poupança	7	Un. Monet. Corr. (milhões)	Mensal	01/08/1994	361	Saldo mensal de poupança no SBPE, importante para avaliar captação e evolução de depósitos.	Monthly saving deposits balance, Brazilian system of saving deposits and loans (SBPE)	BCB - Banco Central do Brasil
8309	Rendimentos creditados nas contas de poupança	Poupança	7	Un. Monet. Corr. (milhares)	Diária	02/01/1995	7428	Mede os rendimentos diários creditados nas contas de poupança, essencial para avaliar a rentabilidade da poupança e o impacto das taxas de juros sobre os poupadores.	Earnings credited to saving deposits account	BCB - Banco Central do Brasil
