código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
188	Índice Nacional de Preços ao Consumidor (INPC)	Preços e Índices Gerais (Inflação)	9	% ao mês	Mensal	01/05/1979	544	Mede a variação mensal dos preços ao consumidor em todo o Brasil, usado principalmente para reajustes salariais e benefícios.	National Consumer Price Index (INPC)	BCB - Banco Central do Brasil
189	Índice Geral de Preços - Mercado (IGP-M)	Preços e Índices Gerais (Inflação)	9	% var. ao mês	Mensal	01/07/1989	422	Índice que mede a variação dos preços de produtos no atacado, ao consumidor e na construção civil, amplamente utilizado para reajustes de contratos e referência para inflação.	General Price Index-Market (IGP-M)	BCB - Banco Central do Brasil
191	Índice de Preços ao Consumidor Brasil (IPC-Br)	Preços e Índices Gerais (Inflação)	9	% var. ao mês	Mensal	01/02/1990	415	Mede a variação dos preços ao consumidor em nível nacional, fornecendo uma visão geral da inflação no Brasil e servindo de referência para reajustes salariais e contratos.	Consumer Price Index-Brazil (IPC-Br)	BCB - Banco Central do Brasil
433	Índice de Preços ao Consumidor Amplo (IPCA)	Preços e Índices Gerais (Inflação)	10	% var. ao mês	Mensal	01/02/1980	535	Principal índice de inflação do Brasil, utilizado para medir a variação de preços de bens e serviços consumidos pelas famílias e para ajustar contratos e salários.	Broad National Consumer Price Index (IPCA)	BCB - Banco Central do Brasil
7447	Índice Geral de Preços - 10 (IGP-10)	Preços e Índices Gerais (Inflação)	8	% var. ao mês	Mensal	01/10/1994	359	Mede a variação de preços em diferentes setores da economia, como o atacado, varejo e construção civil. Utilizado para reajustes contratuais e análise de inflação.	General Price Index-10 (IGP-10)	BCB - Banco Central do Brasil
7450	Índice de Preços por Atacado - Mercado (IPA-M)	Preços e Índices Gerais (Inflação)	8	% var. ao mês	Mensal	01/10/1994	359	Reflete a variação mensal dos preços por atacado no mercado interno, essencial para análise de inflação e ajustes de preços.	Wholesale Price Index-Market (IPA-M)	BCB - Banco Central do Brasil
7453	Índice de Preços ao Consumidor do Mercado (IPC-M)	Preços e Índices Gerais (Inflação)	9	% var. ao mês	Mensal	01/10/1994	359	Mede a variação dos preços ao consumidor, usado amplamente para ajustes de contratos e uma referência para inflação no Brasil.	Consumer Price Index-Market (IPC-M)	BCB - Banco Central do Brasil
7454	Índice de Preços ao Consumidor do Mercado (IPC-M), 1ª decêndio	Preços e Índices Gerais (Inflação)	7	% var. ao mês	Mensal	01/11/1994	358	Mede a variação de preços ao consumidor nos primeiros 10 dias do mês, sendo uma referência importante para monitorar a inflação de curto prazo.	Consumer Price Index-Market (IPC-M), 1st ten-day period	BCB - Banco Central do Brasil
7463	Índice de Preços ao Consumidor (IPC-Fipe), 1º quadrissemana	Preços e Índices Gerais (Inflação)	7	% var. ao mês	Mensal	01/02/1995	355	Mede a variação de preços ao consumidor nos primeiros 28 dias do mês, sendo utilizado para monitorar a inflação em São Paulo, uma referência importante para o Brasil.	Consumer Price Index (IPC-Fipe), 1st four week period	BCB - Banco Central do Brasil
7464	Índice de Preços ao Consumidor (IPC-Fipe), 3º quadrissemana	Preços e Índices Gerais (Inflação)	6	% var. ao mês	Mensal	01/02/1995	355	Mede a variação de preços ao consumidor no terceiro período de 28 dias do mês, concentrando-se em São Paulo como referência.	Consumer Price Index (IPC-Fipe), 3rd four week period	BCB - Banco Central do Brasil
7478	Índice Nacional de Preços ao Consumidor Amplo 15 (IPCA-15)	Preços e Índices Gerais (Inflação)	9	% var. ao mês	Mensal	01/06/2000	291	Reflete a variação mensal do IPCA-15, uma prévia da inflação mensal medida antes do fim do mês.	National Consumer Price Index-Extended 15 (IPCA-15)	BCB - Banco Central do Brasil
13522	Índice Nacional de Preços ao Consumidor Amplo (IPCA), em 12 meses	Preços e Índices Gerais (Inflação)	9	%	Mensal	01/12/1980	525	Reflete a variação acumulada do IPCA nos últimos 12 meses, usado como referência para a inflação de longo prazo.	National consumer price index (IPCA), in 12 months	BCB - Banco Central do Brasil
21379	Índice de Difusão do Índice de Preços ao Consumidor Amplo (IPCA)	Preços e Índices Gerais (Inflação)	7	%	Mensal	01/09/1999	300	Mede a proporção de itens que apresentaram aumento de preços no IPCA, útil para analisar a extensão da inflação entre os diversos setores da economia.	Broad national consumer price index (IPCA) - Diffusion index	BCB - Banco Central do Brasil
