código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
190	Índice Geral de Preços - Disponibilidade Interna (IGP-DI)	Preços e Índices por Setor (Inflação)	9	% var. ao mês	Mensal	01/03/1944	966	Reflete a variação de preços de produtos domésticos, abrangendo os setores agrícola, industrial e de serviços, e é amplamente utilizado para análise de inflação e reajustes de contratos.	General Price Index-Domestic Supply (IGP-DI)	BCB - Banco Central do Brasil
192	Índice Nacional de Custo da Construção (INCC)	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/03/1944	966	Mede a variação mensal dos custos de construção, usado em reajustes de contratos de obras.	National Index of Building Costs (INCC)	BCB - Banco Central do Brasil
225	Índice de Preços por Atacado (IPA)	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/03/1944	966	Reflete a variação mensal dos preços por atacado de bens e serviços, usado como indicador de inflação no início da cadeia produtiva.	Wholesale Price Index (IPA)	BCB - Banco Central do Brasil
1635	Índice de Preços ao Consumidor Amplo (IPCA), alimentos e bebidas	Preços e Índices por Setor (Inflação)	10	% var. ao mês	Mensal	01/02/1991	402	Mede a variação dos preços dos alimentos e bebidas, um dos componentes mais importantes do IPCA, influenciando diretamente o custo de vida e a inflação para a população em geral.	Broad national consumer price index (IPCA), Food and beverages	BCB - Banco Central do Brasil
1636	Índice de Preços ao Consumidor Amplo (IPCA), habitação	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/02/1991	402	Mede a variação dos preços dos itens relacionados à habitação, como aluguel, energia elétrica e água, componentes essenciais do custo de vida e da inflação geral.	Broad national consumer price index (IPCA), Housing	BCB - Banco Central do Brasil
1637	Índice de Preços ao Consumidor Amplo (IPCA), bens domésticos	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/02/1991	402	Mede a variação dos preços dos bens domésticos, como eletrodomésticos e móveis, essenciais para o cálculo da inflação ao consumidor final.	Broad national consumer price index (IPCA), Domestic goods	BCB - Banco Central do Brasil
1638	Índice de Preços ao Consumidor Amplo (IPCA), vestuário	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/02/1991	402	Mede a variação dos preços no setor de vestuário, contribuindo para o cálculo geral da inflação e seu impacto nos custos de vida relacionados à moda e vestimenta.	Broad national consumer price index (IPCA), Clothing	BCB - Banco Central do Brasil
1639	Índice de Preços ao Consumidor Amplo (IPCA), transporte	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/09/1999	300	Mede a variação dos preços dos serviços de transporte, como passagens e combustíveis, que são essenciais no cálculo da inflação geral.	Broad national consumer price index (IPCA), Transport	BCB - Banco Central do Brasil
1640	Índice de Preços ao Consumidor Amplo (IPCA), comunicação	Preços e Índices por Setor (Inflação)	6	% var. ao mês	Mensal	01/09/1999	300	Reflete a variação dos preços dos serviços de comunicação, como telefonia e internet, que impactam tanto consumidores quanto empresas.	Broad national consumer price index (IPCA), Communication	BCB - Banco Central do Brasil
1641	Índice de Preços ao Consumidor Amplo (IPCA), saúde e cuidados pessoais	Preços e Índices por Setor (Inflação)	9	% var. ao mês	Mensal	01/02/1991	402	Reflete a variação dos preços de produtos e serviços de saúde e cuidados pessoais, como medicamentos e consultas, fundamentais para avaliar o impacto da inflação na qualidade de vida.	Broad national consumer price index (IPCA), Health and personal care	BCB - Banco Central do Brasil
1642	Índice de Preços ao Consumidor Amplo (IPCA), despesas pessoais	Preços e Índices por Setor (Inflação)	7	% var. ao mês	Mensal	01/02/1991	402	Mede a variação dos preços das despesas pessoais, como lazer e serviços pessoais, contribuindo para a análise da inflação no orçamento familiar.	Broad national consumer price index (IPCA), Personal expenditures	BCB - Banco Central do Brasil
1643	Índice de Preços ao Consumidor Amplo (IPCA), educação	Preços e Índices por Setor (Inflação)	8	% var. ao mês	Mensal	01/09/1999	300	Mede a variação dos preços de serviços educacionais, como mensalidades escolares e materiais didáticos, que impactam diretamente o orçamento familiar.	Broad national consumer price index (IPCA), Education	BCB - Banco Central do Brasil
