código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
13801	Volatilidade padrão de curto prazo, família I	Regulação, Volatilidade e Risco	7	Sem unidade	Diária	01/07/2008	4074	Reflete a volatilidade padrão para a família I (baixo risco), essencial para ajustes no cálculo de risco em ativos de curto prazo.	Standard volatility of the short term, family I, PJUR[1], Carta-Circular 3,498/11	BCB - Banco Central do Brasil
13802	Volatilidade padrão de médio prazo, família II	Regulação, Volatilidade e Risco	7	Sem unidade	Diária	01/07/2008	4074	Mede a volatilidade padrão para a família II (risco moderado), usada para ajustes no cálculo de risco em ativos de médio prazo.	Standard volatility of the medium term, family II, PJUR[1], Carta-Circular 3,498/11	BCB - Banco Central do Brasil
13803	Volatilidade padrão de longo prazo, família III	Regulação, Volatilidade e Risco	6	Sem unidade	Diária	01/07/2008	4074	Reflete a volatilidade padrão para a família III (alto risco) em ativos de longo prazo, usada para ajustes de valor no cálculo de risco.	Standard volatility of the long term, family III, PJUR[1], Carta-Circular 3,498/11	BCB - Banco Central do Brasil
13804	Multiplicador para o dia “t”, RWA_JUR[1]	Regulação, Volatilidade e Risco	6	Sem unidade	Diária	01/07/2008	4074	Multiplicador de risco de mercado para cálculo de RWA.	Multiplier for day “t”, RWA_JUR[1], Carta-Circular 3498/2011	BCB - Banco Central do Brasil
13805	Parâmetro base para calcular RHOi,j, RWA_JUR[1], Carta-Circular 3498/11	Regulação, Volatilidade e Risco	4	Sem unidade	Diária	01/07/2008	4074	Usado no cálculo de risco de variação de mercado (RWA), aplicável a instituições financeiras para medir o risco das carteiras de exposição ao mercado.	Base-parameter for calculating RHOi,j, RWA_JUR[1], Carta-Circular	BCB - Banco Central do Brasil
13806	Fator de decaimento da correlação k, RWA_JUR[1], Carta-Circular 3.498/11	Regulação, Volatilidade e Risco	5	Sem unidade	Diária	01/07/2008	4074	Fator utilizado no cálculo de risco de variação de mercado (RWA), conforme regulamentação do Banco Central, aplicável a instituições financeiras.	Correlation decay factor k, RWA_JUR[1], Carta-Circular 3,498/11	BCB - Banco Central do Brasil
13807	Multiplicador para RWA_JUR[2], Circular 3635/2013	Regulação, Volatilidade e Risco	6	Sem unidade	Diária	01/07/2008	4074	Multiplicador para família II (médio prazo), usado no cálculo de ativos ponderados pelo risco.	Multiplier for RWA_JUR[2], Circular 3635/13	BCB - Banco Central do Brasil
13808	Multiplicador para RWA_JUR[3], Circular 3636/2013	Regulação, Volatilidade e Risco	6	Sem unidade	Diária	01/07/2008	4074	Multiplicador para família III (longo prazo), aplicado no cálculo de ativos de maior risco.	Multiplier for RWA_JUR[3], Circular 3636/13	BCB - Banco Central do Brasil
13809	Multiplicador para RWA_JUR[4], Circular 3637/2013	Regulação, Volatilidade e Risco	6	Sem unidade	Diária	01/07/2008	4074	Multiplicador para família I (curto prazo), essencial para calcular ativos de menor risco.	Multiplier for RWA_JUR[4], Circular 3637/13	BCB - Banco Central do Brasil
19899	Volatilidade padrão de curto prazo para cálculo de sVaRi,t, família I	Regulação, Volatilidade e Risco	7	Sem unidade	Diária	06/10/2011	3250	Reflete a volatilidade de curto prazo (baixo risco), usada para calcular o valor de risco ajustado de ativos financeiros de curto prazo.	Standard volatility of the short term to calculate sVaRi,t, family I, PJUR[1], Circular 3,498/10	BCB - Banco Central do Brasil
19900	Volatilidade padrão de médio prazo para cálculo de sVaRi,t, família II	Regulação, Volatilidade e Risco	7	Sem unidade	Diária	06/10/2011	3250	Reflete a volatilidade de médio prazo (risco moderado), essencial para cálculos de risco em ativos de médio prazo.	Standard volatility of the medium term to calculate sVaRi,t, family II, PJUR[1], Circular 3,498/10	BCB - Banco Central do Brasil
19901	Volatilidade padrão de longo prazo para cálculo de sVaRi,t, família III	Regulação, Volatilidade e Risco	6	Sem unidade	Diária	06/10/2011	3250	Mede a volatilidade de longo prazo (alto risco), usada para calcular o valor de risco ajustado de ativos financeiros de longo prazo.	Standard volatility of the long term to calculate sVaRi,t, family III, PJUR[1], Circular 3,498/10	BCB - Banco Central do Brasil
19902	Parâmetro base de correlação RHOi,j usado no cálculo de sVaRtpadrão, PJUR[1], Circular 3,498/10	Regulação, Volatilidade e Risco	4	Sem unidade	Diária	06/10/2011	3251	Usado no cálculo de risco de variação de mercado (sVaR) para exposições de instituições financeiras, conforme regulamentação do Banco Central.	Base parameter correlation RHOi,j used in sVaRtpadrão, PJUR[1]	BCB - Banco Central do Brasil
19903	Fator de decaimento da correlação k, cálculo de sVaRtpadrão, PJUR[1], Circular 3.498/10	Regulação, Volatilidade e Risco	5	Sem unidade	Diária	06/10/2011	3250	Utilizado no cálculo de risco de variação de mercado (sVaR), essencial para a gestão de risco das carteiras de exposição ao mercado em instituições financeiras, conforme regulamentação do Banco Central.	Decay factor k of the correlation to calculate sVaRtpadrão, PJUR[1], Circular 3,498/10	BCB - Banco Central do Brasil
