código	nome	categoria	popularidade	Unidade	frequência	primeira_data	num_registros	Significado/utilidade para análise	name	Fonte
3546	Reservas internacionais, total mensal	Reservas Internacionais	9	US$ (milhões)	Mensal	01/01/1971	644	Reflete o valor total mensal das reservas internacionais, utilizado para analisar a evolução das reservas e garantir a segurança cambial ao longo do tempo.	International reserves, Total, monthly	BCB - Banco Central do Brasil
3547	Reservas internacionais, total em moedas estrangeiras conversíveis	Reservas Internacionais	9	US$ (milhões)	Mensal	01/01/2001	284	Reflete o total das reservas internacionais em moedas estrangeiras conversíveis, importante para a gestão de divisas e a garantia da liquidez do país no mercado internacional.	International reserves, Foreign currency reserves (in convertible foreign currencies), Total	BCB - Banco Central do Brasil
3548	Reservas internacionais, reservas em moedas estrangeiras conversíveis, títulos	Reservas Internacionais	8	US$ (milhões)	Mensal	01/01/2001	284	Mede o valor das reservas internacionais aplicadas em títulos estrangeiros conversíveis, fundamental para a diversificação e segurança das reservas do país.	International reserves, Foreign currency reserves (in convertible foreign currencies), Securities	BCB - Banco Central do Brasil
3549	Reservas internacionais, reservas em moedas estrangeiras conversíveis, moeda e depósitos	Reservas Internacionais	9	US$ (milhões)	Mensal	01/01/2001	284	Reflete a quantidade de reservas internacionais em moeda e depósitos em moedas conversíveis, essencial para garantir a estabilidade cambial e financeira do país.	International reserves, Foreign currency reserves (in convertible foreign currencies), Currency and deposits	BCB - Banco Central do Brasil
3550	Reservas internacionais, posição no FMI	Reservas Internacionais	7	US$ (milhões)	Mensal	01/01/2001	284	Reflete a posição das reservas internacionais do país junto ao Fundo Monetário Internacional (FMI), essencial para medir o grau de participação e suporte financeiro disponível.	International reserves, IMF reserve position	BCB - Banco Central do Brasil
3551	Reservas internacionais, Direitos Especiais de Saque (SDRs)	Reservas Internacionais	8	US$ (milhões)	Mensal	01/01/2001	284	Reflete o valor das reservas internacionais em Direitos Especiais de Saque (SDRs), uma unidade de conta utilizada pelo FMI, que fornece liquidez adicional aos países membros.	International reserves, SDRs	BCB - Banco Central do Brasil
3552	Reservas internacionais, ouro (incluindo depósitos de ouro)	Reservas Internacionais	8	US$ (milhões)	Mensal	01/01/2001	284	Reflete o valor das reservas internacionais em ouro, incluindo depósitos de ouro, utilizado como um ativo de reserva seguro em tempos de instabilidade econômica.	International reserves, Gold (including gold deposits)	BCB - Banco Central do Brasil
3553	Reservas internacionais, ouro (volume)	Reservas Internacionais	7	Mil onças troy	Mensal	01/01/2001	284	Mede o volume de ouro detido pelo país em reservas internacionais, uma forma tradicional de proteger a economia contra crises e instabilidades.	International reserves, Gold (volume)	BCB - Banco Central do Brasil
3554	Reservas internacionais, total de outros ativos de reserva	Reservas Internacionais	7	US$ (milhões)	Mensal	01/01/2001	284	Reflete o valor total de outros ativos de reserva, como derivativos e empréstimos, essenciais para a diversificação das reservas internacionais do país.	International reserves, Other reserve assets, Total	BCB - Banco Central do Brasil
3555	Reservas internacionais, outros ativos de reserva, derivativos financeiros	Reservas Internacionais	7	US$ (milhões)	Mensal	01/01/2001	284	Reflete o valor dos derivativos financeiros nas reservas internacionais, utilizado como uma forma de proteção contra variações no mercado financeiro.	International reserves, Other reserve assets, Financial derivatives	BCB - Banco Central do Brasil
3556	Reservas internacionais, outros ativos de reserva, empréstimos a não residentes	Reservas Internacionais	6	US$ (milhões)	Mensal	01/01/2001	284	Mede o valor dos empréstimos a entidades não bancárias estrangeiras, importante para avaliar o impacto da concessão de crédito sobre as reservas internacionais.	International reserves, Other reserve assets, Loans to nonbank nonresidents	BCB - Banco Central do Brasil
7323	Reservas internacionais, outros ativos de reserva, operações de reverse repo	Reservas Internacionais	6	US$ (milhões)	Mensal	01/02/2002	271	Reflete o valor das operações de reverse repo (compra de títulos com compromisso de revenda) realizadas com as reservas internacionais, uma forma de injeção de liquidez temporária.	International reserves, Other reserve assets, Reverse Repo	BCB - Banco Central do Brasil
13621	Reservas internacionais, total diário	Reservas Internacionais	8	US$ (milhões)	Diária	01/09/1998	6538	Mede o valor total diário das reservas internacionais do país, essencial para monitorar a estabilidade financeira e a liquidez cambial.	International reserves, Total, daily	BCB - Banco Central do Brasil
13982	Reservas internacionais, conceito de liquidez, total diário	Reservas Internacionais	8	US$ (milhões)	Diária	02/01/2008	4196	Mede o valor total das reservas internacionais com base em sua liquidez imediata, essencial para avaliar a capacidade do país em honrar suas obrigações financeiras de curto prazo.	International reserves, Liquidity concept, Total, daily	BCB - Banco Central do Brasil
